year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
1998,House,105,2,1,H.R.,1428,HR1428-105,Voting Rights,passage,1998-02-12,Rejected,210,200,N,Y=Wrong; N=Right,648,https://voteview.com/rollcall/RH1050648,,1,"(H.R. 1428) Voter turnout among people of color and new citizens has played a key role in several close elections that working family-friendly candidates have won. Some losers, such as former Rep. Robert Dornan (R-Calif.), have claimed voter fraud, but no evidence of widespread voter registration fraud by noncitizens has been uncovered. However, H.R. 1428, the Voter Eligibility Verification Act, would have authorized local registrars to use various voter eligibility tests and devices that could have led to discrimination against minority voters and discouraged many qualified voters from going to the polls. On a procedural vote that required a two-thirds majority, the bill failed 210-200 Feb. 12, 1998. Y=W, N=R (DEM: 7-186; REP: 203-13)"
1998,House,105,2,2,H.R.,3246,HR3246-105,Freedom to Choose a Union,passage,1998-03-26,Passed,202,200,N,Y=Wrong; N=Right,708,https://voteview.com/rollcall/RH1050708,,1,"(H.R. 3246) One of the basic principles of the National Labor Relations Act is the right of workers to choose a union free from management interference. But employers regularly trample that right. Some 10,000 workers a year are fired for attempts to form unions in their workplaces. Employers spend an estimated $300 million a year on union-busting consultants. H.R. 3246 would give employers even more power by banning union organizers from applying for and holding jobs for the purpose of organizing a workplace, making single-unit organizing of a multisite employer more difficult and shifting the NLRB case cost from the employer to the board. The bill passed March 26, 1998, 202-200. It was not acted on in the Senate. Y=W, N=R (DEM: 8-179; REP: 194-20)"
1998,House,105,2,3,H.R.,2608,HR2608-105,Paycheck Deception,passage,1998-03-30,Rejected,166,246,N,Y=Wrong; N=Right,713,https://voteview.com/rollcall/RH1050713,,1,"(H.R. 2608) In 1997, big businesses’ attempts to silence working families’ voice in politics were voted down in California and Oregon, declared unconstitutional in Nevada and died in several state legislatures. But that didn’t deter the enemies of working families from backing federal legislation that would have placed incredible burdens on unions before they could spend their funds representing working families through political or legislative activity. H.R. 2608, under the guise of campaign finance reform, applied only to unions—not to corporations, which outspend unions 11-1 on politics. The bill was defeated March 30, 1998, 166-246. Y=W, N=R (DEM: 3-193; REP: 163-52)"
1998,House,105,2,4,H.R.,6,HR6-105,Affirmative Action,amendment,1998-05-06,Rejected,171,249,N,Y=Wrong; N=Right,761,https://voteview.com/rollcall/RH1050761,,1,"(H.R. 6) Years of affirmative action have opened the doors of higher education to many qualified minorities and women who otherwise would have been denied fair and equal access. But these longstanding laws have come under increasing attack by conservatives—who tried to reverse the real meaning of affirmative action by claiming these programs discriminate. Rep. Frank Riggs (R-Calif.) offered an amendment to the Higher Education Act of 1998 that would have gutted affirmative action. It was defeated May 6, 1998,171-249. Y=W, N=R (DEM: 5-193; REP: 166-55)"
1998,House,105,2,5,H.R.,2888,HR2888-105,40-Hour Week,passage,1998-06-11,Passed,261,165,N,Y=Wrong; N=Right,856,https://voteview.com/rollcall/RH1050856,,1,"(H.R. 2888) The Fair Labor Standards Act provides wage and hour standards and protections for workers. But business interests have attacked the FLSA in an effort to chip away at the 40-hour week and give employers more control over workers’ hours. In 1998, the House passed H.R. 2888, which exempts certain sales personnel (those with technical or specialized knowledge of a product) who earn more than $22,650 a year and service existing sales contracts from overtime and minimum wage requirements. Other than overtime pay requirements, nothing restrains employers from demanding that employees work excessive hours. H.R. 2888 passed 261-165 June 11, 1998. The bill was not acted on in the Senate. Y=W, N=R (DEM: 43-157; REP: 218-7)"
1998,House,105,2,6,H.R.,2646,HR2646-105,School Vouchers,conference report,1998-06-18,Adopted,225,197,N,Y=Wrong; N=Right,869,https://voteview.com/rollcall/RH1050869,,2,"(H.R. 2646) More than 90 percent of America’s school children attend public schools. But H.R. 2646 would allow wealthy parents, earning up to $160,000 a year, to set aside up to $2,000 annually in Individual Retirement Accounts and allow those funds to be withdrawn tax-free for kindergarten through grade 12 education expenses, including private school tuition. Congress’s own Joint Committee on Taxation estimated that 70 percent of the tax-free benefits would go to the richest 20 percent of the nation’s families, essentially providing subsidized private education for the rich and denying tax money to public schools. The bill passed 225-197 June 18, 1998 and was vetoed by President Clinton. Y=W, N=R (DEM: 12-186; REP: 213-10)"
1998,House,105,2,7,H.R.,4250,HR4250-105,Patients' Bill of Rights,substitute,1998-07-24,Rejected,212,217,Y,Y=Right; N=Wrong,959,https://voteview.com/rollcall/RH1050959,"For/Against marker: the card prints ""Y=R, N=R"", which scores a nay both right and wrong. The measure is the Dingell substitute to H.R. 4250, the Patients' Bill of Rights the card says the AFL-CIO backed, rejected 212-217 with Democrats 201-0 in favour; the grid's own ""Favorable Position"" row prints Y for this column and N for the other nine. aflcio_position is therefore Y and aflcio_label Y=Right; N=Wrong - the printed ""N=R"" is the typo",2,"(H.R. 4250) The real Patients’ Bill of Rights, backed by the AFL-CIO, President Clinton and consumer and health reform groups, was introduced by Reps. John Dingell (D-Mich.) and Greg Ganske (R-Iowa) . That legislation would give patients the right to have treatment decisions made by doctors rather than insurance company bureaucrats, to see specialists, to get emergency room care, to appeal health care decisions and to sue managed care companies. But House GOP leaders misleadingly also titled their health care bill, which protected HMOs and the insurance industry rather than patients, the Patients’ Bill of Rights. Dingell’s bill was offered as substitute for the phony reform in H.R. 4250, but it failed July 24, 1998, 212-217. Y=R, N=R (DEM: 201-0; REP: 10-217)"
1998,House,105,2,8,H.R.,4276,HR4276-105,Worker Rights—Discrimination,amendment,1998-08-05,Rejected,176,252,N,Y=Wrong; N=Right,1018,https://voteview.com/rollcall/RH1051018,,2,"(H.R.4276) All workers deserve protection against discrimination on the job. President Clinton issued an executive order adding sexual orientation to the existing federal policy banning discrimination in the federal civilian workforce on the basis of race, color, religion, sex, national origin, disability or age. An amendment to the Commerce, Justice and State departments’ appropriations bill that would have barred spending any of the funds to implement the order was defeated August 5, 1998,176-252. Y=W, N=R (DEM: 15-188; REP: 161-63)."
1998,House,105,2,9,H.R.,2621,HR2621-105,Fast Track,passage,1998-09-25,Rejected,180,243,N,Y=Wrong; N=Right,1086,https://voteview.com/rollcall/RH1051086,,2,"(H.R. 2621) In 1997, a huge grassroots campaign by working families, the AFL-CIO and affiliated unions against Fast Track trade legislation generated 800,000 phone calls, 750,000 postcards to Congress and hundreds of rallies. That action convinced House GOP leaders the bill was doomed and it was pulled from the floor. But in what many observers called a ploy to divide those who disagree with the President’s stand on Fast Track, Republican leaders revived the proposal in 1998 in the closing days of Congress to embarrass Clinton—admitting it stood little chance of passage. Fast Track does not allow Congress to improve a trade deal, but simply to vote yes or no on the entire treaty. It was defeated Sept. 25, 1998, 180-243. Y=W, N=R (DEM: 29-171; REP: 151-71)"
1998,House,105,2,10,H.R.,4579,HR4579-105,Tax Cuts/Social Security,passage,1998-09-26,Passed,229,195,N,Y=Wrong; N=Right,1089,https://voteview.com/rollcall/RH1051089,,2,"(H.R. 4579) The campaign to strengthen Social Security gained much momentum in 1998 and the public ranked Social Security as the most important issue facing Congress. In fact, the overwhelming majority said any Social Security surplus should be used to strengthen the program, not for tax cuts. Yet legislation was introduced to take money from the Social Security Trust Fund surplus to pay for $80 billion in tax cuts over five years and $177 billion over 10 years. The bill would put in jeopardy the two-thirds of older Americans who rely on Social Security for 50 percent or more of their total income. Social Security also is the principal protection against family impoverishment due to death or disability for 96 percent of the nation’s workforce. The House passed the bill Sept. 26, 1998, 229-195. The Senate did not act on the bill. Y=W, N=R (DEM: 19-183; REP: 210-11)"
