year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
1989,House,101,1,1,H.R.,1231,HR1231-101,Eastern Airlines I,passage,1989-03-15,Passed,252,167,Y,Y=Right; N=Wrong,7,https://voteview.com/rollcall/RH1010007,,3,"In 1989, 30,000 airline workers found themselves pitted against one of the most notorious corporate raiders of the decade - Frank Lorenzo. Under his control, Lorenzo had destroyed Eastern Airlines' profit-making ability by stripping it of over $700 million in assets and shifting them to Continental Airlines and Texas Air Corporation, Eastern's parent firm. During contract negotiations, Lorenzo tried to scapegoat the Machinists by demanding one-sided paycuts and job reductions. When the IAM struck, the Air Line Pilots and the Transport Workers attendants honored the picket line. As the strike wore on, Eastern's losses hit nearly $1 million a day. Then Lorenzo did what he had done with Continental Airlines six years earlier - he sought the shelter of bankruptcy. In March 1989, President Bush refused to use his powers under the Railway Labor Act to call for a 60-day cooling off period and appoint a federal fact-finding panel - emergency board - to investigate the strike and recommend a settlement. At labor's behest, Congress filled the void. On March 15, the House by a key 252-167 vote passed labor-backed legislation to force Bush to establish an emergency board to investigate the dispute and make recommendations to Congress for a settlement. Later, when an amended version of the House bill landed on the President's desk, the President, only hours before the 1989 session of Congress adjourned, vetoed the legislation. A veto override vote may occur in the second session of Congress. For - Right. Against - Wrong."
1989,House,101,1,2,H.R.,3443,HR3443-101,Eastern Airlines II,amendment,1989-10-31,Adopted,283,132,Y,Y=Right; N=Wrong,311,https://voteview.com/rollcall/RH1010311,,4,"By the fall of 1989, the U.S. House of Representatives was fed up with the tactics of Frank Lorenzo. His takeovers of Continental Airlines and Eastern Airlines had forced both airlines into bankruptcy. At Continental, jobs were lost and the unions were destroyed. At Eastern, Lorenzo's asset stripping and provocation of a bitter ongoing strike had all but destroyed that airline. During debate on legislation to enhance federal regulation of airline takeovers, Rep. Douglas Bosco (D-Calif.) offered an amendment specifically aimed at Lorenzo. Bosco's amendment prohibited any person from acquiring an airline who had already taken two other airlines into bankruptcy. Tagged as the ""two-time loser"" provision by House members during debate, the labor backed anti-Lorenzo amendment was approved by an overwhelming 283-132 key vote on October 31. For - Right. Against - Wrong."
1989,House,101,1,3,H.R.,2,HR2-101,Minimum Wage I,substitute,1989-03-23,Rejected,198,218,N,Y=Wrong; N=Right,11,https://voteview.com/rollcall/RH1010011,,4,"For eight years, America's poorest workers - those who toil at the minimum wage - have had no increase in pay. As a result, by 1989 their inflation-eroded $3.35 hourly minimum wage was worth only $2.11 or $85 per week. Although the AFL-CIO had lobbied over the years for an increase in the minimum wage, opposition by Ronald Reagan had stymied these efforts. With President Bush threatening veto, the House considered legislation to raise the minimum wage from $3.35 to $4.65 an hour in three steps over three years. Rep. William Goodling (R-Pa.) offered a White House-backed substitute proposal during floor debate to raise the minimum wage to just $4.25 over the same period. In addition, his proposal included a six-month training wage set at 80 percent of the minimum wage for any newly-hired employee. By a 198-218 key vote on March 23, the Goodling substitute was rejected. For - Wrong. Against - Right."
1989,House,101,1,4,H.R.,2,HR2-101,Minimum Wage II,veto override,1989-06-14,Rejected,247,178,Y,Y=Right; N=Wrong,78,https://voteview.com/rollcall/RH1010078,,4,"In the Senate, a minimum wage bill was passed that would increase the minimum wage to $4.55 an hour over three years - ten cents less than the House-passed bill. The measure also included a modified training wage proposal allowing the payment of 85 percent of the minimum wage to newly-hired employees for a one-time total of 60 days. The AFL-CIO agreed to the training wage as the price demanded by Republican moderates and conservative Democrats for any wage increase. However, the training wage was designed to ""sunset"" - that is self destruct - one year after the last step increase in the minimum wage. Despite these changes the compromise failed to satisfy President Bush as he carried out his veto threat. On June 14, by a 247-178 key vote, the House failed to secure the two-thirds vote needed to override his veto. Later, a compromise bill to increase the minimum wage to $4.25 which included a modified training wage proposal was approved by Congress and signed into law by President Bush. For override - Right. Against override - Wrong."
1989,House,101,1,5,H.R.,3299,HR3299-101,Pension Protections,amendment,1989-09-27,Adopted,250,173,N,Y=Wrong; N=Right,239,https://voteview.com/rollcall/RH1010239,,4,"The 1948 Taft-Hartley Act mandated that workers participating in multi-employer pension plans have the right to equal representation on the plans' boards of trustees. Thus workers' representatives - alongside those of management - make investment decisions and these pension plans are jointly administered. Such is not the case with single-employer pension plans. More than $1.4 trillion in assets are tightly controlled in these plans by hand-picked management trustees. As a result, millions of workers who contribute deferred wages to these plans for retirement income have no say in how their money is used, invested, or managed. Because workers have no say in these plans, assets from single-employer pension funds have been increasingly invested in junk bonds and other financial schemes to underwrite job-destroying, leveraged buyouts, corporate mergers and acquisitions. At least 90,000 AFL-CIO members have lost their jobs through corporate cannibalism financed by workers' pension plans. To give workers an equal voice in the administration of their pension plans, Rep. Peter Visclosky (D-Ind.) proposed an amendment to a budget bill to mandate joint administration of single-employer plans. When this bill hit the House floor, it was met by an explosion of opposition from business lobbyists and conservatives led by Rep. Marge Roukema (R-N.J.). By a 250-173 key vote on September 27, the House adopted a Roukema amendment to strip the Visclosky provision from the bill. For - Wrong. Against - Right."
1989,House,101,1,6,H.R.,2461,HR2461-101,Protecting Fair Wages For Construction Workers,substitute,1989-07-27,Adopted,223,201,Y,Y=Right; N=Wrong,171,https://voteview.com/rollcall/RH1010171,,5,"The 1931 Davis-Bacon Act insures that workers on federally-financed construction projects will be paid at wage rates that prevail in their area of the country. For more than 50 years this law has assured that contractors who uphold community labor standards will have a fair chance to compete for government projects without being underbid by firms using cut-rate labor. The law has also protected the government and taxpayers from fly-by-night operators who seek to win federal contracts by paying wages too low to attract competent craftsmen. During House debate on a Department of Defense authorization bill, Rep. Charles Stenholm (D-Tex.) offered an amendment designed to thwart a pending labor-backed proposal to modernize the Davis-Bacon law. Stenholm's amendment would have exempted 80 percent of all military construction from the fair wage standards of the Davis-Bacon law by increasing the $2,000 contract threshold exemption to $250,000. Organized labor countered with a substitute amendment by Rep. Austin Murphy (D-Pa.) which increased the threshold to $50,000 and provided for other reforms. By a 223-201 key vote on July 27, the House approved the Murphy substitute, thereby blocking Stenholm's proposal. The Murphy reform proposal was later dropped from the bill. For - Right. Against - Wrong."
1989,House,101,1,7,H.R.,20,HR20-101,Hatch Reform Act,passage,1989-04-17,Passed,297,90,Y,Y=Right; N=Wrong,24,https://voteview.com/rollcall/RH1010024,,5,"Almost 3 million federal, postal and District of Columbia government employees are barred by the Hatch Act from fully exercising the political freedom enjoyed by all other Americans. Among the activities outlawed by this restrictive 1939 statute, these workers are forbidden from handing out leaflets, publicly endorsing candidates or even displaying a candidate's lawn sign on their own front yards. Originally, the Hatch Act was intended to prevent political appointees from coercing government workers into partisan campaign work. But now, some 40 years later, thanks to protections by their unions and new laws, those threats of intimidation are almost non-existent. Yet government workers are still denied their basic political rights. In 1989, labor-backed legislation was introduced to restore full political rights to these workers. In addition, the legislation strengthened existing protections against improper political solicitations. By a 297-90 key vote on April 17, the House approved the Hatch Act reform bill which is now awaiting Senate action. For - Right. Against - Wrong."
1989,House,101,1,8,S.J.Res.,113,SJRES113-101,Trade,substitute,1989-06-07,Adopted,262,155,Y,Y=Right; N=Wrong,71,https://voteview.com/rollcall/RH1010071,"vote_question 'substitute': the card describes this as the resolution passing the House, but the 262-155 vote it prints is roll 71, adoption of the Bruce substitute to S.J.Res. 113; passage of the resolution that day was roll 73, 241-168; bill inferred as S.J.Res. 113: Voteview leaves roll 71's bill_number empty but its dtl_desc names the FSX plane development resolution, and the Senate roll calls on the same measure (rolls 66 and 175) are tagged SJRES113",5,"The 1980s saw the export of jobs accelerate as millions of Americans lost high paying manufacturing jobs due to free trade policies that were blind to the realities of cutthroat global competition. In 1989, these policies continued. Within weeks after his Administration had cited Japan under the 1988 trade reform law for job-stealing, anti-fair trade practices, President Bush sent to Congress a proposal that would have transferred highly-regarded U.S. aviation technology to Japan. The so-called FSX deal promoted the joint U.S.-Japanese development of a new generation of advanced combat fighter aircraft - the FSX. The $7-billion co-development scheme was strongly opposed by the AFL-CIO because it would cost thousands of American jobs and allow the Japanese to acquire U.S. technology to develop their own aerospace industry. This is precisely what the Japanese had already achieved as a result of past U.S. technology exports that had paved the way for Japan's development of their own color television, VHS, semi-conductor industries and other ""high tech"" manufacturing. Although the Senate narrowly failed to reject a labor backed effort to kill the agreement, safeguards were adopted to stop transfers of technology. In the House, Rep. Terry Bruce (D-Ill.) introduced a joint resolution which contained similar restrictions barring the transfer of certain jet engine technologies to Japan while also prohibiting them from transferring any newly developed FSX-related technology to third countries. Although the resolution passed the House by a key 262-155 vote on June 7, President Bush vetoed the measure. Later, the Senate failed to override the veto and the FSX deal is now being implemented. For - Right. Against - Wrong."
1989,House,101,1,9,H.R.,3402,HR3402-101,Maritime Jobs,substitute,1989-10-19,Rejected,170,228,N,Y=Wrong; N=Right,284,https://voteview.com/rollcall/RH1010284,,6,"By the end of the 1980s, the U.S. maritime fleet had become a relic of the once-formidable force that had played such a key role in winning World War II. Four decades of neglect had cost the U.S. thousands of merchant marine, seafaring and ship construction jobs, lost to low-wage foreign ""flags of convenience."" At the same time, the increasingly heavy reliance on these ""foreign-flag"" vessels for shipments of U.S. exports has contributed significantly to the record level of the U.S. trade deficit. The maritime fleet has so deteriorated that recent studies have shown that it could barely meet its defense support obligations during a foreign conflict. One of the few remaining government programs sustaining the nation's merchant marine fleet is the 1954 Cargo Preference Act. This law reserves a percentage of federally-funded foreign aid for shipment on U.S. vessels. During debate on legislation providing U.S. food shipments to Poland, Rep. Marcy Kaptur (D-Ohio) offered an amendment to reduce the Cargo Preference requirement for these shipments from current 75 percent levels to 50 percent. Although the amendment was designed to forestall an even steeper cut sponsored by Rep. Fred Grandy (R-Iowa), the AFL-CIO and the maritime unions opposed her amendment. By a 170-228 key vote on October 19, the labor-opposed Kaptur amendment was rejected. Later the Grandy proposal was also defeated. For - Wrong. Against - Right."
1989,House,101,1,10,H.R.,3299,HR3299-101,Tax Cuts for the Rich,amendment,1989-09-28,Rejected,190,239,Y,Y=Right; N=Wrong,243,https://voteview.com/rollcall/RH1010243,,6,"The economic policies of President Reagan that generated record-level budget deficits were repeated by President Bush in 1989. Throughout the first session of the 101st Congress, President Bush tried to make good on a 1988 campaign promise to cut the capital gains income tax rate for the rich. His proposal would cut taxes on the average about $25,000 for those making more than $200,000 annually. Eighty percent of the benefits would go to 3 percent of the nation's wealthiest taxpayers, leaving nine of ten American workers out in the cold. A comprehensive study showed that the President's proposal would cost American taxpayers $71 billion from 1991-1999. During House debate on the omnibus budget reconciliation bill, enough Democrats teamed up with Republicans to add the capital gains tax amendment to the bill. Efforts by the Democratic leaders to block the tax rate cut by restoring the deductibility of the individual retirement accounts while increasing the marginal income tax rate on upper income wage earners from 28 to 33 percent were defeated. This labor-backed attempt to focus the tax breaks on middle-income Americans was rejected on a key 190-239 vote on September 28. Later, during the House-Senate conference on the budget bill, the capital gains provision was dropped. For - Right. Against - Wrong."
