year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
1971,House,92,1,1,H.J.Res.,468,HJRES468-92,Funds for SST,amendment,1971-03-18,Adopted,215,204,N,Y=Wrong; N=Right,15,https://voteview.com/rollcall/RH0920015,tally 216-203 -> 215-204 per Voteview roll 15,2,"Thousands of aerospace workers faced layoffs when the House voted against appropriating funds to continue development of an American-built supersonic airliner. The AFL-CIO supported funding for the SST as vital to the preservation of the nation's leadership in aircraft manufacturing as well as essential to the economy. On Mar. 18, 1971, the House voted 216-203 for an amendment cutting off SST funds. For - wrong. Against - right."
1971,House,92,1,2,H.R.,5376,HR5376-92,Accelerated Public Works,motion to recommit,1971-04-22,Rejected,128,261,N,Y=Wrong; N=Right,35,https://voteview.com/rollcall/RH0920035,tally 128-262 -> 128-261 per Voteview roll 35,2,"Despite continued high unemployment, the Administration opposed a $2 billion accelerated public works program aimed at providing 170,000 jobs and needed facilities in communities with heavy joblessness. Administration supporters in the House attempted to kill the bill by offering a motion to send it back to committee with instructions to eliminate the accelerated public works program. On Apr. 22, 1971, the effort to kill accelerated public works was defeated 128-262. For - wrong. Against - right."
1971,House,92,1,3,H.R.,3613,HR3613-92,Public Service Jobs,substitute,1971-06-02,Rejected,182,204,N,Y=Wrong; N=Right,67,https://voteview.com/rollcall/RH0920067,,2,"As one means of improving the economy, the AFL-CIO strongly supported congressional efforts to enact a public service employment program providing jobs for the unemployed in the public sector. The Administration opposed this approach to reducing unemployment as the President had vetoed similar legislation in 1970. In an effort to defeat this legislation, the Administration supported a substitute bill that would have scuttled existing manpower programs and replaced them with a revenue-sharing proposal. On June 2, 1971, the Administration-backed substitute was defeated in the House by a vote of 182-204. For - wrong. Against - right."
1971,House,92,1,4,H.R.,8432,HR8432-92,Lockheed Loan Guarantee,passage,1971-07-30,Passed,192,189,Y,Y=Right; N=Wrong,152,https://voteview.com/rollcall/RH0920152,"Voteview rolls 151 and 152 give bill_number HR3432 while both of their own dtl_desc read H.R. 8432, and Voteview's own Senate roll 164 on the same measure gives HR8432, so HR8432 is stored",2,"With over 72,000 jobs at stake, the AFL-CIO supported passage of a bill providing a federal guarantee for a $250 million loan to the Lockheed Aircraft Corp. Under the terms of the bill, the loan was to be made by private banks. There would be no cost to the government unless Lockheed went bankrupt. In that case, the government would have priority over other creditors on the company's assets. The bill passed the House on July 30, 1971, by a 192-189 vote. For - right. Against - wrong."
1971,House,92,1,5,H.R.,6065,HR6065-92,Unemployment Compensation Extension,conference report,1971-12-15,Adopted,194,149,Y,Y=Right; N=Wrong,318,https://voteview.com/rollcall/RH0920318,,2,"Late in the session, Congress approved a 13-week extension of unemployment compensation benefits for an estimated 538,000 workers who had exhausted basic and extended unemployment compensation. This temporary program, starting in February, provides aid to workers who are the victims of long-term unemployment in states with the highest jobless rates. The emergency program was included as part of a conference report approved by the House on Dec. 15, 1971, by a 194-149 vote. For - right. Against - wrong."
1971,House,92,1,6,H.Res.,596,HRES596-92,Federal Pay Raise,passage,1971-10-04,Rejected,174,207,Y,Y=Right; N=Wrong,188,https://voteview.com/rollcall/RH0920188,,2,"Although federal employes were scheduled to receive a comparability salary increase on Jan. 1, 1972, the President, as part of his ""wage freeze,"" attempted to defer this increase until July 1, 1972. The House by a 174-207 vote on Oct. 4, 1971, failed to pass a resolution that would have overturned the President's postponement of catch-up pay for federal employes. For - right. Against - wrong."
1971,House,92,1,7,H.R.,11309,HR11309-92,Wage Retroactivity,amendment,1971-12-10,Adopted,209,151,N,Y=Wrong; N=Right,309,https://voteview.com/rollcall/RH0920309,,3,"Legislation extending the President's wage-price control authority cleared the House Banking Committee with a provision permitting back pay for most wage increases that were due during the Phase 1 freeze. The bill was crippled on the House floor when an amendment sponsored by Rep. Stephens (D-Ga.) was approved. The Stephens amendment limited back pay to those cases where an employer had already raised prices to cover the increase, and thereby ruled out most retroactive pay boosts. The damage was later repaired in House-Senate conference. On Dec. 10, 1971, the House adopted the Stephens amendment by a 209-151 vote. For - wrong. Against - right."
1971,House,92,1,8,H.R.,9270,HR9270-92,Food for Strikers,amendment,1971-06-23,Rejected,172,225,N,Y=Wrong; N=Right,103,https://voteview.com/rollcall/RH0920103,,3,"Striking workers and their families have always been entitled to food stamps as long as they met other eligibility requirements under the program. During House action on an agricultural appropriation bill, Rep. Michel (R-Ill.) attempted to deny food stamps to strikers and their families. The Michel amendment was defeated on June 23, 1971, by a 172-225 vote. For - wrong. Against - right."
1971,House,92,1,9,H.R.,7016,HR7016-92,Federal School Funds,amendment,1971-04-07,Rejected,188,191,Y,Y=Right; N=Wrong,30,https://voteview.com/rollcall/RH0920030,,3,"Administration budget cuts in aid to education played a major role in the financial crisis facing the nation's schools. Rep. Hathaway (D-Me.) attempted to increase federal funding of school programs by approximately 15 percent during House action on the education appropriation bill. The Hathaway amendment, supported by organized labor and education groups, was narrowly defeated, 188-191, on Apr. 7, 1971. For - right. Against - wrong."
1971,House,92,1,10,H.R.,1746,HR1746-92,Enforcing Equal Employment,substitute,1971-09-16,Adopted,202,197,N,Y=Wrong; N=Right,174,https://voteview.com/rollcall/RH0920174,,3,"The AFL-CIO and civil rights groups strongly supported legislation giving the Equal Employment Opportunity Commission the enforcement power necessary to stop illegal job discrimination. Business groups and the Administration, however, backed a weak substitute that denied enforcement power to EEOC and limited action to court suits. The House voted, 202-197, against effective enforcement and for the substitute bill on Sept. 16, 1971. For - wrong. Against - right."
