year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
2011,House,112,1,1,H.R.,2,HR2-112,Repealing the Job-Killing Health Care Law Act,passage,2011-01-19,Passed,245,189,N,Y=Wrong; N=Right,12,https://voteview.com/rollcall/RH1120012,,1,"In the first major vote after winning the majority, House Republicans voted to repeal the Affordable Care Act (ACA) health reform law. The ACA improves access to affordable health care coverage, provides consumer protections, and reduces the federal deficit. Among other effects repeal would cost 1.2 million young adults their coverage through their parents' health plan. It would mean higher drug prices for 2.7 million seniors, would eliminate free preventive services for 44 million seniors, and discard measures to help control health care costs. It would allow insurance companies to resume denying coverage, limiting care and spending premiums on larger CEO salaries and profits."
2011,House,112,1,2,H.Res.,38,HRES38-112,Resolution Reducing Non-Security Spending to FY2008 Levels or Less,passage,2011-01-25,Passed,256,165,N,Y=Wrong; N=Right,18,https://voteview.com/rollcall/RH1120018,,1,"The resolution required that the fiscal year 2011 budget cut spending for all non-defense items to 2008 levels. That would mean massive cuts to vital working family programs and protections such as education, health care, environmental protections, transportation, workplace safety, wage protections and more. The resolution was approved."
2011,House,112,1,3,H.R.,1,HR1-112,Amendment to Defund the National Labor Relations Board,amendment,2011-02-17,Rejected,176,250,N,Y=Wrong; N=Right,73,https://voteview.com/rollcall/RH1120073,"not forced by the (date, tally) key: rolls 73 and 77 are both 176-250 amendments to H.R. 1 that day and Voteview describes neither. clerk.house.gov/evs/2011/roll075.xml names roll 73 (clerk 75) 'Price of Georgia Amendment No. 410' and roll 77 (clerk 79) 'Sessions of Texas Amendment No. 43'; this record describes Rep. Tom Price's amendment to defund the NLRB",1,"As part of the continuing effort to attack workers' rights and weaken the National Labor Relations Board (NLRB), Rep. Tom Price (R-Ga.) offered an amendment to H.R. 1, the continuing resolution to fund the federal government and its agencies that would defund the NLRB for the remainder of 2011. The amendment failed."
2011,House,112,1,4,H.R.,1,HR1-112,Amendment to Defund the Affordable Care Act,amendment,2011-02-18,Adopted,239,187,N,Y=Wrong; N=Right,95,https://voteview.com/rollcall/RH1120095,,1,"In another attack on the health care reform, Rep. Dennis Rehberg (R-Mont.) offered an amendment to continuing resolution to fund the federal government and its agencies that would eliminate all funding to implement the Affordable Care Act (ACA). The amendment would prohibit the use of funds to pay any employee, officer, contractor, or grantee of any federal department or agency to implement the provisions of the ACA."
2011,House,112,1,5,H.R.,1,HR1-112,Amendment to Prohibit Project Labor Agreements,amendment,2011-02-19,Rejected,210,210,N,Y=Wrong; N=Right,124,https://voteview.com/rollcall/RH1120124,,1,"This amendment by Rep. Frank Guinta (R-N.H.) to the Disaster Relief Appropriations Act, 2013 (H.R. 1) would have prohibited the use of Project Labor Agreements (PLAs) on projects funded through the bill. PLAs are a proven, effective tool used to ensure the timely, cost-effective completion of large and complex projects, providing a better value for government agencies and the taxpayers who fund these projects. They also provide contractors--union and nonunion, alike--access to a properly trained and highly skilled workforce. The amendment failed (a tie vote fails)."
2011,House,112,1,6,H.R.,1,HR1-112,Amendment to Repeal Prevailing Wage Laws,amendment,2011-02-19,Rejected,189,233,N,Y=Wrong; N=Right,142,https://voteview.com/rollcall/RH1120142,,2,"This amendment by Rep. Steve King (R-Iowa) to the Disaster Relief Appropriations Act, 2013 (H.R. 1) would have repealed Davis-Bacon coverage for projects funded under this bill. The Davis-Bacon Act requires companies to pay construction workers locally prevailing wages on federally funded projects. The amendment failed."
2011,House,112,1,7,H.R.,1,HR1-112,"Disaster Relief Appropriations Act, 2013",passage,2011-02-19,Passed,235,189,N,Y=Wrong; N=Right,145,https://voteview.com/rollcall/RH1120145,,2,"The bill would provide continuing appropriations for all government agencies, except the Defense Department, through the remainder of fiscal year 2011. It would cut more than $61 billion including: cuts to the Occupational Safety and Health Administration (OSHA) and Mine Safety and Health Administration (MSHA) that will eliminate job safety enforcement and investigations; cuts to job training and Employment Services; cuts to the National Labor Relations Board (NLRB) which will undermine workers' ability to have a voice on the job; and cuts to Head Start which will result in 218,000 fewer kids in the program. Overall, H.R. 1 would destroy hundreds of thousands of jobs. It also would bar the use of funds made available in the bill for a variety of executive branch regulatory activities and implementation of several provisions of the Affordable Care Act. The bill passed the House."
2011,House,112,1,8,H.R.,471,HR471-112,SOAR Act,passage,2011-03-30,Passed,225,195,N,Y=Wrong; N=Right,202,https://voteview.com/rollcall/RH1120202,,2,"The bill would reauthorize and expand Washington, D.C.'s private school voucher pilot program that expired at the end of fiscal year 2008. The voucher program was flawed and ineffective, according to several federal reports."
2011,House,112,1,9,H.R.,658,HR658-112,Amendment to Limit Federal Employees' Collective Bargaining Rights,amendment,2011-03-31,Rejected,195,227,N,Y=Wrong; N=Right,210,https://voteview.com/rollcall/RH1120210,,2,"Current law allows federal employees who serve as union representatives a reasonable amount of official time to perform functions on behalf of the union such as negotiations, but not for internal union business. Rep. Phil Gingrey (R-Ga.) offered an amendment to Federal Aviation Administration (FAA) reauthorization bill that would prohibit FAA employees from using official time."
2011,House,112,1,10,H.R.,658,HR658-112,Amendment to Repeal Prevailing Wage Laws,amendment,2011-04-01,Rejected,183,238,N,Y=Wrong; N=Right,214,https://voteview.com/rollcall/RH1120214,,2,This amendment by Rep. Pete Sessions (R-Texas) to the FAA Modernization and Reform Act (H.R. 658) would have repealed Davis-Bacon coverage for projects funded under this bill. The Davis-Bacon Act requires companies to pay construction workers locally prevailing wages on federally funded projects. The amendment failed.
