year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
2017,House,115,1,1,H.R.,21,HR21-115,Midnight Rules Relief Act,passage,2017-01-04,Passed,238,184,N,Y=Wrong; N=Right,7,https://voteview.com/rollcall/RH1150007,,1,"This bill would allow Congress to combine into one resolution of disapproval all rules finalized by federal agencies near the end of a presidential term. The legislation would permit Congress to overturn in one fell swoop countless regulations that can take years, if not decades, to develop, stripping away vital protections from workers and the public. The bill passed the House without amendment."
2017,House,115,1,2,H.R.,26,HR26-115,Regulations from the Executive in Need of Scrutiny (REINS) Act,passage,2017-01-05,Passed,237,187,N,Y=Wrong; N=Right,22,https://voteview.com/rollcall/RH1150022,,1,"This bill would radically alter the regulatory process by requiring Congress to approve all major rules before they can go into effect. Under the REINS Act, politics, not scientific judgement or agency expertise would dictate all regulatory actions. The bill passed the House amended."
2017,House,115,1,3,H.R.,5,HR5-115,Regulatory Accountability Act,passage,2017-01-11,Passed,238,183,N,Y=Wrong; N=Right,44,https://voteview.com/rollcall/RH1150044,,1,"This bill would upend 40 years of labor, health safety and environmental laws by requiring agencies to adopt the cheapest rules, rather than those deemed most effective. This anti-regulatory bill would make protecting workers and the public secondary to limiting cost and impacts on businesses and corporations. The bill passed the House amended."
2017,House,115,1,4,S.Con.Res.,3,SCONRES3-115,FY2017 Budget Resolution,budget resolution,2017-01-13,Passed,227,198,N,Y=Wrong; N=Right,57,https://voteview.com/rollcall/RH1150057,,1,"A concurrent budget resolution that paves the way for a vote to repeal the Affordable Care Act under a procedure known as ""reconciliation."" Budget reconciliation rules allow for the expedited consideration of legislation and a simple majority for passage in the U.S. Senate. The measure passed the Senate and House without amendment."
2017,House,115,1,5,H.J.Res.,37,HJRES37-115,Resolution Overturning the Fair Pay and Safe Workplace Rule,passage,2017-02-02,Passed,236,187,N,Y=Wrong; N=Right,75,https://voteview.com/rollcall/RH1150075,,1,"This resolution of disapproval overturned an Obama administration rule that would have required companies bidding on federal contracts to disclose past violations of labor and employment laws, including the Occupational Safety and Health Act, the Fair Labor Standards Act and the National Labor Relations Act. The resolution passed the House and Senate, was signed by President Trump and became law on March 27, 2017."
2017,House,115,1,6,H.J.Res.,67,HJRES67-115,Resolution Overturning the Retirement Plan Safe Harbor Rule,passage,2017-02-15,Passed,234,191,N,Y=Wrong; N=Right,94,https://voteview.com/rollcall/RH1150094,,2,"This resolution of disapproval overturned an Obama administration rule that would have allowed states to create retirement programs for private sector workers whose employers do not offer any retirement savings plan. The resolution passed the House and Senate, was signed by President Trump and became law on April 13, 2017."
2017,House,115,1,7,H.R.,998,HR998-115,SCRUB Act of 2017,passage,2017-03-01,Passed,240,185,N,Y=Wrong; N=Right,113,https://voteview.com/rollcall/RH1150113,,2,"This bill, part of a broad anti-regulation agenda, would require any agency that issues a new regulation to remove an existing regulation of equal or greater cost. The bill passed the House amended."
2017,House,115,1,8,H.J.Res.,83,HJRES83-115,Resolution Overturning the OSHA Injury and Illness Reporting Rule,passage,2017-03-01,Passed,231,191,N,Y=Wrong; N=Right,120,https://voteview.com/rollcall/RH1150120,,2,"This resolution of disapproval overturned an Obama administration rule that would require employers to keep accurate and complete records of serious work-related injuries and illnesses for at least five years. The resolution passed the House and Senate, was signed by President Trump and became law on April 3, 2017."
2017,House,115,1,9,H.R.,1004,HR1004-115,Regulatory Integrity Act of 2017,passage,2017-03-02,Passed,246,176,N,Y=Wrong; N=Right,125,https://voteview.com/rollcall/RH1150125,,2,"The legislation strictly prohibits agencies from issuing ""public communications"" that ""emphasize the importance"" of a particular agency action unless the communication has the ""clear purpose of informing the public of the substance or status"" of the particular action. This bill would significantly undermine federal agencies' ability to engage and inform the public in a meaningful and transparent way. The bill passed the House amended."
2017,House,115,1,10,H.R.,985,HR985-115,Fairness in Class Action Litigation and Furthering Asbestos Claim Transparency Act,passage,2017-03-09,Passed,220,201,N,Y=Wrong; N=Right,147,https://voteview.com/rollcall/RH1150147,,2,"This legislation would invade the privacy of asbestos victims by posting personal exposure and medical information online and create new barriers to victims receiving compensation for asbestos disease. It would give unfettered access to employers, insurance companies, workers compensation carriers and others who could use this information for any purpose including blacklisting workers from employment and fighting compensation claims. The bill passed the House amended."
2017,House,115,1,11,H.R.,1259,HR1259-115,VA Accountability First Act,passage,2017-03-16,Passed,237,178,N,Y=Wrong; N=Right,167,https://voteview.com/rollcall/RH1150167,,3,This bill would dramatically weaken due process rights for frontline VA employees by lowering the standard of proof for disciplinary actions and shortening the period for workers to appeal dismissals and other adverse actions. The bill would supersede both the collective bargaining agreement between the VA and its unions and existing civil service protections. The bill passed the House amended.
2017,House,115,1,12,H.R.,1101,HR1101-115,Small Business Health Fairness Act,passage,2017-03-22,Passed,236,175,N,Y=Wrong; N=Right,185,https://voteview.com/rollcall/RH1150185,,3,"This bill would allow for the establishment of association health plans that would be shielded from state regulation and allowed to sell coverage across state lines. Insurers would be permitted to sell bare-bones health plans, which would lead to market segmentation and higher premiums for plans with more comprehensive coverage. In addition, association health plans have a long history of insolvencies that have left consumers liable for millions of dollars in health care expenses. The legislation lacks adequate safeguards to protect against future insolvencies. The bill passed the House amended."
2017,House,115,1,13,H.R.,1695,HR1695-115,Register of Copyrights Selection and Accountability Act,passage,2017-04-26,Passed,378,48,Y,Y=Right; N=Wrong,226,https://voteview.com/rollcall/RH1150226,,3,"Artists, writers and filmmakers rely on copyright protections to ensure they are compensated fairly, and there are more than 5.5 million workers engaged in creative work. By making the head of the U.S. Copyrights Office a presidential appointee, confirmed by the U.S. Senate, the bill would strengthen the independence of the Copyright Office, and it would give the American people the opportunity to weigh in on the selection process through their elected representatives. The bill passed the House amended."
2017,House,115,1,14,H.R.,1180,HR1180-115,Working Families Flexibility Act,passage,2017-05-02,Passed,229,197,N,Y=Wrong; N=Right,243,https://voteview.com/rollcall/RH1150243,"vote_question 'amendment' -> 'passage': the roll call's own question is 'On Passage'. The scorecard's value was inferred from its prose, which the 11 Aug 2026 review measured at ~8% wrong; result 'Adopted' -> 'Passed', which follows the roll call ('Passed') and the collection's convention for a passage",3,"This bill would allow employers to substitute comp time for overtime pay, reducing the take home pay of millions of workers and resulting in longer hours and more unpredictable schedules. Contrary to the bill’s title, employers would remain in charge of when workers could take their comp time. The bill would encourage employers to demand excessive hours and would create a cost advantage for businesses that would no longer pay cash overtime. The bill passed the House amended."
2017,House,115,1,15,H.R.,1628,HR1628-115,American Health Care Act,passage,2017-05-04,Passed,217,213,N,Y=Wrong; N=Right,255,https://voteview.com/rollcall/RH1150255,,3,"This bill would roll back Affordable Care Act coverage expansions and sharply reduce funding for the Medicaid program, taking health coverage away from 23 million people. The bill passed the House amended."
2017,House,115,1,16,S.,1094,S1094-115,Department of Veterans Affairs Accountability and Whistleblower Protection Act,passage,2017-06-13,Passed,368,55,N,Y=Wrong; N=Right,306,https://voteview.com/rollcall/RH1150306,,4,"This bill undercuts collective bargaining and civil service protections for Department of Veterans Affairs employees by weakening standards for discharges and even permitting the forfeiture of some employees’ pensions. The bill passed the House and Senate, was signed by President Trump and became law on June 23, 2017."
2017,House,115,1,17,H.R.,3003,HR3003-115,No Sanctuary for Criminals Act,passage,2017-06-29,Passed,228,195,N,Y=Wrong; N=Right,341,https://voteview.com/rollcall/RH1150341,,4,"This bill would cut off federal funds to jurisdictions that limit its cooperation with federal immigration enforcement agents in order to protect low-priority immigrants from deportation, while still turning over those who have committed serious crimes. The bill would punish “sanctuary cities” that commit to engage in sensible local policing and that work to end discrimination and racial profiling by withholding federal funding for critical public safety programs. The bill passed the House without amendment."
2017,House,115,1,18,H.R.,3004,HR3004-115,Kate's Law,passage,2017-06-29,Passed,257,167,N,Y=Wrong; N=Right,343,https://voteview.com/rollcall/RH1150343,,4,"This bill would increase penalties for civil violations of our immigration laws, putting tens of thousands more people behind bars at enormous cost to taxpayers. The bill passed the House without amendment."
2017,House,115,1,19,H.R.,2810,HR2810-115,Amendment to Expedite Military Base Realignments and Closures,amendment,2017-07-13,Rejected,175,248,N,Y=Wrong; N=Right,364,https://voteview.com/rollcall/RH1150364,,4,"This amendment by Rep. Tom McClintock (R-Calif.) to the National Defense Authorization Act for Fiscal Year 2018 (H.R. 2810) would have removed a provision that prohibits the formation of a federal commission that could order an expedited realignment and closing of military bases. While presenting a potential risk to our military readiness, previous recommendations resulted in closings that did not produce the long-term savings that were expected. The amendment failed."
2017,House,115,1,20,H.R.,2810,HR2810-115,Amendment to Repeal Prevailing Wage Laws,amendment,2017-07-13,Rejected,183,242,N,Y=Wrong; N=Right,369,https://voteview.com/rollcall/RH1150369,,4,This amendment by Rep. Paul Gosar (R-Ariz.) to the National Defense Authorization Act for Fiscal Year 2018 (H.R. 2810) would have repealed Davis-Bacon coverage for projects funded under this bill. The Davis-Bacon Act requires companies to pay construction workers locally prevailing wages on federally funded projects. The amendment failed.
2017,House,115,1,21,H.J.Res.,111,HJRES111-115,Resolution Overturning Forced Arbitration Ban,passage,2017-07-25,Passed,231,190,N,Y=Wrong; N=Right,411,https://voteview.com/rollcall/RH1150411,,4,"This resolution of disapproval overturned a rule adopted by the Consumer Financial Protection Bureau to ban the use of forced arbitration clauses. Forced arbitration clauses are the 'fine print' in contracts that force consumers to give up their right to sue and instead require disputes be resolved though individual arbitration. The resolution passed the House and Senate, was signed by President Trump and became law on Nov. 1, 2017."
