year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
2009,House,111,1,1,H.R.,12,HR12-111,Paycheck Fairness Act,passage,2009-01-09,Passed,256,163,Y,Y=Right; N=Wrong,7,https://voteview.com/rollcall/RH1110007,,1,"The Paycheck Fairness Act would require employers to demonstrate that wage gaps between men and women doing the same work are truly a result of factors other than sex, and would prohibit retaliation against workers who share salary information or inquire about their employer's wage practices. It also amends the Equal Pay Act to allow the same remedies and class-action procedures available for other civil rights claims."
2009,House,111,1,2,H.R.,11,HR11-111,Lilly Ledbetter Fair Pay Act of 2009 and Paycheck Fairness Act Amendments,passage,2009-01-09,Passed,247,171,Y,Y=Right; N=Wrong,8,https://voteview.com/rollcall/RH1110008,,1,"Ledbetter v. Goodyear Tire and Rubber. Lilly Ledbetter, a Goodyear Tire Co. supervisor, did not learn that she was being paid substantially less than her male colleagues, in violation of the Civil Rights Act of 1964, until she retired after 19 years on the job. The Supreme Court ruled that Ledbetter lost the right to sue 180 days after she received her first paycheck. Prior to this decision, other courts had ruled that each paycheck started the 180-day clock over because each check was fresh evidence of discrimination."
2009,House,111,1,3,H.R.,2,HR2-111,Children's Health Insurance Program Reauthorization Act of 2009,passage,2009-01-14,Passed,289,139,Y,Y=Right; N=Wrong,15,https://voteview.com/rollcall/RH1110015,,1,"Since the Children's Health Insurance Program (CHIP) was enacted in 1997 with broad bipartisan support, the number of uninsured children has dropped by one-third, even as the rate of uninsured adults has increased steadily. The CHIP reauthorization bill preserves coverage for more than six million children while extending coverage to nearly four million more uninsured children."
2009,House,111,1,4,H.R.,1,HR1-111,American Recovery and Reinvestment Act of 2009,passage,2009-01-28,Passed,244,188,Y,Y=Right; N=Wrong,45,https://voteview.com/rollcall/RH1110045,,1,"As a first priority of the Obama administration, and a key step toward rebuilding an economy that works for all Americans, the House passed the American Recovery and Reinvestment Act. The investment provisions of the bill are specifically targeted to creating and maintaining jobs, and make major investments in transportation, infrastructure, state Medicaid and other health care programs, education and housing assistance, and energy-efficiency projects."
2009,House,111,1,5,H.R.,1105,HR1105-111,"Omnibus Appropriations Act, 2009",passage,2009-02-25,Passed,245,178,Y,Y=Right; N=Wrong,85,https://voteview.com/rollcall/RH1110085,,1,"The omnibus spending bill combines nine funding bills for several federal agencies, including the Department of Labor and Department of Education. The bill included funding for critical labor and health and safety programs and would fund government operations through Sept. 30, 2009."
2009,House,111,1,6,H.R.,1106,HR1106-111,The Helping Families Save Their Homes Act of 2009,passage,2009-03-05,Passed,234,191,Y,Y=Right; N=Wrong,103,https://voteview.com/rollcall/RH1110103,,2,"The Helping Families Save Their Homes Act of 2009 will, among other provisions, allow bankruptcy judges to modify mortgage loans for distressed homeowners. This provision is a logical fix to assist thousands of working families to restructure their home mortgages much in the same way as investors and those who have second homes do now."
2009,House,111,1,7,H.R.,1262,HR1262-111,Amendment to Repeal Prevailing Wage Laws,amendment,2009-03-12,Rejected,140,284,N,Y=Wrong; N=Right,121,https://voteview.com/rollcall/RH1110121,,2,This amendment by Rep. Connie Mack (R-Fla.) to the TK TK would have repealed Davis-Bacon coverage for projects funded under this bill. The Davis-Bacon Act requires companies to pay construction workers locally prevailing wages on federally funded projects. The amendment failed.
2009,House,111,1,8,S.Con.Res.,13,SCONRES13-111,Joint FY2010 Budget Resolution,conference report,2009-04-29,Adopted,233,193,Y,Y=Right; N=Wrong,215,https://voteview.com/rollcall/RH1110215,"bill number: the scorecard prints S.Con.Res. 16, which drew no roll call at all in the 111th House. The FY2010 budget resolution conference report is S.Con.Res. 13, roll 215, at the record's own 233-193 on 29 Apr 2009; bill number: the scorecard prints S.Con.Res. 16; roll 215 is on S.Con.Res. 13. bill_number follows the roll call and the description keeps the scorecard's words; vote_question 'budget resolution' -> 'conference report': the roll call's own question is 'On Agreeing to the Conference Report'. The scorecard's value was inferred from its prose, which the 11 Aug 2026 review measured at ~8% wrong; result 'Passed' -> 'Adopted', which follows the roll call ('Passed') and the collection's convention for a conference report",2,"The House and Senate jointly agreed to $3.56 trillion budget resolution for fiscal year 2010. The resolution allows modest increases in funding to housing, education, job training, safety and health care programs that have been consistently cut during the past eight years. The resolution assumes $764 billion in tax cuts over five years, including an extension of the 2001 and 2003 tax cuts for households earning less than $250,000 annually, a three-year adjustment to prevent additional taxpayers from paying the alternative minimum tax and a permanent extension of the 2009 estate tax cuts. It also establishes reserve funds for health care reform and climate change legislation to reduce the nation's emission of carbon dioxide and other greenhouse gases."
2009,House,111,1,9,H.R.,1913,HR1913-111,Local Law Enforcement Hate Crimes Prevention Act of 2009,passage,2009-04-29,Passed,249,175,Y,Y=Right; N=Wrong,222,https://voteview.com/rollcall/RH1110222,,2,"Passage of the bill that would expand federal hate crimes law to cover those based on sexual orientation, gender or disability. The bill would authorize $5 million annually in fiscal 2010 and 2011 for grants to state, local and tribal law enforcement agencies to investigate and prosecute hate crimes. It would authorize unspecified sums in fiscal 2010 through 2012 for the Justice Department to hire additional law enforcement personnel to prevent and respond to federal hate crimes."
2009,House,111,1,10,H.R.,627,HR627-111,Credit CARD Act of 2009,passage,2009-04-30,Passed,357,70,Y,Y=Right; N=Wrong,227,https://voteview.com/rollcall/RH1110227,,2,"The legislation would impose restrictions on credit card company lending practices, including when companies could increase annual percentage interest rates retroactively on an existing balance. It expands a number of disclosure requirements for credit card companies and restricts the ability of credit card companies to change the terms of an account after it has been established."
