year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
1977,House,95,1,1,H.Res.,799,HRES799-95,Labor Law Reform (1),previous question,1977-10-04,Agreed to,267,152,Y,Y=Right; N=Wrong,575,https://voteview.com/rollcall/RH0950575,,2,"Conservatives were defeated in an attempt to sidetrack the Labor Law Reform bill and substitute for it an anti-union, employer-backed measure. By a 267-152 count on Oct. 4 the House, in a procedural vote, in effect upheld the rule which only allowed for debate on amendments germane to the substance of the Labor Law Reform legislation. Thus consideration of the anti-worker bill was blocked. For the rule - Right. Against - Wrong."
1977,House,95,1,2,H.R.,8410,HR8410-95,Labor Law Reform (2),passage,1977-10-06,Passed,257,163,Y,Y=Right; N=Wrong,591,https://voteview.com/rollcall/RH0950591,,2,"In 1977 the House approved labor law reform legislation designed to better protect a worker's right to seek union representation. Endorsed by President Carter, the bill expedites the administration and procedures of the National Labor Relations Act while also strengthening penalties against labor law violators. The package of reforms contained in the legislation represents the most important revision in labor law since passage of the 1935 Wagner Act. Overcoming the concerted opposition of business and right-wing groups the House on Oct. 6 approved its version of the legislation by a 257-163 vote. For - Right. Against - Wrong."
1977,House,95,1,3,H.R.,3744,HR3744-95,Minimum Wage (1),amendment,1977-09-15,Rejected,209,211,N,Y=Wrong; N=Right,512,https://voteview.com/rollcall/RH0950512,tally 210-211 -> 209-211 per Voteview roll 512,2,The House rejected a move to establish a subminimum wage rate for non-student workers aged 18 or younger. An amendment offered by Rep. Robert Cornell (D-Wis.) would have allowed employers to pay these workers 85 percent of the minimum wage for the first six months. The AFL-CIO opposed the amendment on the basis that it would not relieve high teenage unemployment and would cause displacement of older workers by younger workers who could be paid less. The House rejected the amendment by a narrow 210-211 vote on Sept. 15. For - Wrong. Against - Right.
1977,House,95,1,4,H.R.,3744,HR3744-95,Minimum Wage (2),conference report,1977-10-20,Adopted,236,185,Y,Y=Right; N=Wrong,622,https://voteview.com/rollcall/RH0950622,tally 236-187 -> 236-185 per Voteview roll 622,2,"President Carter on Nov. 1 signed into law labor-backed minimum wage legislation. The final bill increased the minimum wage rate in four steps from the current $2.30 to $3.35 by 1981. The bill also made other significant improvements in the fair wage law. Despite strong opposition from business groups, the House on Oct. 20, approved the conference report on the bill by a 236-187 vote. For - Right. Against - Wrong."
1977,House,95,1,5,H.R.,4250,HR4250-95,Situs Picketing Rights,passage,1977-03-23,Rejected,205,217,Y,Y=Right; N=Wrong,83,https://voteview.com/rollcall/RH0950083,,2,"House conservatives backed by some moderate Democrats helped defeat passage of labor-backed situs picketing. The legislation, a goal of organized labor for over a quarter of a century, would have reinstated equal rights for building trades workers to picket an entire job site - a right which industrial workers now have. By a 205-217 vote the House rejected the bill on March 23. For - Right. Against - Wrong."
1977,House,95,1,6,H.R.,10,HR10-95,Hatch Act Reform,amendment,1977-06-07,Adopted,266,139,Y,Y=Right; N=Wrong,291,https://voteview.com/rollcall/RH0950291,,2,"In debate on the Hatch Act Reform bill, Rep. John Ashbrook (R-Ohio) succeeded in securing House approval of an amendment to disallow unions from using funds for such legal political activities as non-partisan voter registration drives and get-out-the-vote efforts. Later, however, the House approved by a 266-139 vote on June 7 an amendment by Rep. Bill Clay (D-Mo.) effectively nullifying the anti-union Ashbrook amendment. For - Right. Against - Wrong."
1977,House,95,1,7,H.R.,1037,HR1037-95,Cargo Equity,passage,1977-10-19,Rejected,165,257,Y,Y=Right; N=Wrong,618,https://voteview.com/rollcall/RH0950618,,3,"To help rebuild the American Merchant Marine, protect the maritime environment and better assure the security of a portion of oil imports, the AFL-CIO backed legislation mandating that a percentage of U.S. oil be carried in American ships. With only 3 percent of oil imports now carried in American vessels, the bill would have boosted that percentage to 9.5 percent by 1981. The legislation would have created an estimated 20,000 maritime related jobs. The House, however, defeated the bill by a 165-257 vote on Oct. 19. For - Right. Against - Wrong."
1977,House,95,1,8,H.R.,2,HR2-95,Strip Mining Controls,motion to recommit,1977-04-29,Rejected,83,228,N,Y=Wrong; N=Right,154,https://voteview.com/rollcall/RH0950154,,3,"The AFL-CIO endorsed legislation vetoed twice by President Ford providing for federal minimum standards for state strip mining control laws. This environmental bill was signed into law by President Carter in 1977. During House consideration, Rep. Robert Bauman (R-Md.) attempted to have the bill killed by recommitting it to committee. His effort failed by an 83-228 vote on Apr. 29. For recommittal - Wrong. Against - Right."
1977,House,95,1,9,H.R.,7171,HR7171-95,Food Stamps For Strikers,amendment,1977-07-27,Rejected,170,249,N,Y=Wrong; N=Right,437,https://voteview.com/rollcall/RH0950437,,3,"Striking workers and their families are entitled to food stamps as long as they comply with the stringent eligibility requirements under the program. During House consideration of a 1977 farm bill which included a four-year extension of the food stamp program, Rep. Richard Kelly (R-Fla.) offered an amendment to deny food stamps to strikers and their families. The House rejected the Kelly amendment by a 170-249 vote on July 27. For - Wrong. Against - Right."
1977,House,95,1,10,H.R.,7555,HR7555-95,Job Safety,amendment,1977-06-16,Rejected,162,231,N,Y=Wrong; N=Right,322,https://voteview.com/rollcall/RH0950322,,3,"Every year since passage of the landmark job safety law, conservatives have attempted to weaken the Occupational Safety & Health Act. In 1977 Rep. Steven Symms (R-Idaho) tried to slash OSHA funding by $6.3 million for fiscal 1978. The House rejected this effort by a 162-231 vote on June 16. For - Wrong. Against - Right."
