year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
2020,House,116,2,1,H.R.,1230,HR1230-116,Protecting Older Workers Against Discrimination Act,passage,2020-01-15,Passed,261,155,Y,Y=Right; N=Wrong,720,https://voteview.com/rollcall/RH1160720,,1,"This bill would restore fairness to workers aged 40 and older who experience discrimination in the workplace because of their age. It would restore protections that were weakened by the U.S. Supreme Court, which raised the burden of proof to show age discrimination. The bill also would provide remedies for workers who are retaliated against when they report age discrimination. This bill passed the House on Jan. 14, 2020."
2020,House,116,2,2,H.R.,2382,HR2382-116,USPS Fairness Act,passage,2020-02-05,Passed,309,106,Y,Y=Right; N=Wrong,736,https://voteview.com/rollcall/RH1160736,,1,"This bill would repeal the 2006 mandate that the U.S. Postal Service (USPS) prefund future retiree health benefits. No other private business or public entity is required to prefund retiree health care decades in advance. In the case of the USPS, the prefunding mandate has resulted in a manufactured financial crisis that is being used by its adversaries to cut postal services. The prefunding mandate costs the Postal Service more than $5 billion annually and accounts for nearly 90% of its operating shortfall. This bill passed the House on Feb. 5, 2020."
2020,House,116,2,3,H.R.,2474,HR2474-116,Amendment to Prevent Unions from Obtaining Information in Union Elections,amendment,2020-02-06,Rejected,190,229,N,Y=Wrong; N=Right,741,https://voteview.com/rollcall/RH1160741,,1,"This amendment introduced by Rep. Virginia Foxx (R-N.C.) to the Protecting the Right to Organize Act of 2019 (H.R. 2474) would have stricken a provision codifying National Labor Relations Board (NLRB) precedent that requires employers to provide employee contact information. The amendment would have seriously hindered unions seeking to represent employees in an election by preventing them from getting all available contact information of eligible voters after the NLRB has ordered that an election take place. It also would have overturned a half-century-old board precedent, upheld by the Supreme Court, holding that simple fairness requires that unions be able to contact eligible voters. This amendment failed on Feb. 6, 2020, and the Protecting the Right to Organize Act of 2019 passed the House that same day."
2020,House,116,2,4,H.R.,2474,HR2474-116,Amendment to Prevent Voluntary Recognition in Union Elections,amendment,2020-02-06,Rejected,187,235,N,Y=Wrong; N=Right,742,https://voteview.com/rollcall/RH1160742,,1,"This amendment introduced by Rep. David P. Roe (R-Tenn.) to the Protecting the Right to Organize Act of 2019 (H.R. 2474) would have prevented employers from voluntarily recognizing a union that has demonstrated the support of a majority of all employees in a unit. Voluntary recognition has been lawful since before the National Labor Relations Act (NLRA) was adopted in 1935. This amendment would have left the National Labor Relations Board (NLRB) with no remedy if an employer’s unlawful conduct prevented a fair election. This amendment failed on Feb. 6, 2020, and the Protecting the Right to Organize Act of 2019 passed the House that same day."
2020,House,116,2,5,H.R.,2474,HR2474-116,Amendment to Prohibit Union Fair Share Agreements,amendment,2020-02-06,Rejected,186,235,N,Y=Wrong; N=Right,745,https://voteview.com/rollcall/RH1160745,,2,"This amendment by Rep. Mark Meadows (R-N.C.) to the Protecting the Right to Organize Act of 2019 (H.R. 2474) would have stricken the provision requiring states to allow “fair share agreements” that make it possible for unions to represent all of the workers covered by the collective bargaining agreement. “Right to work” laws, which prohibit fair share agreements, are a relic of the Jim Crow South and allow big corporations to depress wages and benefits. This amendment failed on Feb. 6, 2020, and the Protecting the Right to Organize Act of 2019 passed the House that same day."
2020,House,116,2,6,H.R.,2474,HR2474-116,Protecting the Right to Organize Act of 2019,passage,2020-02-06,Passed,224,194,Y,Y=Right; N=Wrong,749,https://voteview.com/rollcall/RH1160749,"match not forced by the (date, tally) key alone; the rivals were separated by the measure the scorecard prints, which for this block is a typeset field off the scoreboard PDF rather than an inference",2,"The Protecting the Right to Organize (PRO) Act would modernize the National Labor Relations Act (NLRA) to give working people a voice on the job so we can negotiate for higher wages, better benefits, a more secure retirement and a safer workplace. It would impose financial penalties on companies and individual corporate officers who violate the law. It also would eliminate state ""right to work"" laws, prohibit companies from holding captive audience meetings during organizing campaigns and remove the ban on secondary picketing. The bill would ensure that all workers have the right to join a union by cracking down on employers who deliberately misclassify their workers as independent contractors. Finally, the bill would establish a process for mediation and arbitration to help employers and unions reach a first contract. This bill passed the House on Feb. 6, 2020."
2020,House,116,2,7,H.R.,5687,HR5687-116,Emergency Supplemental Appropriations for Disaster Relief and Puerto Rico Disaster Tax Relief Act,passage,2020-02-07,Passed,237,161,Y,Y=Right; N=Wrong,753,https://voteview.com/rollcall/RH1160753,,2,"This bill would appropriate $4.67 billion in disaster relief to Puerto Rico after the devastation caused by earthquakes in 2019 and 2020. In addition to providing critical funding for infrastructure repairs, the bill would give a significant income boost to low- and moderate-income families in Puerto Rico through the progressive expansion of the Child Tax Credit and a locally funded Earned Income Tax Credit. This bill passed the House on Feb. 7, 2020."
2020,House,116,2,8,H.J.Res.,79,HJRES79-116,Removing the deadline for the ratification of the equal rights amendment,passage,2020-02-13,Passed,232,183,Y,Y=Right; N=Wrong,769,https://voteview.com/rollcall/RH1160769,"vote_question 'amendment' -> 'passage': the roll call's own question is 'On Passage'. The scorecard's value was inferred from its prose, which the 11 Aug 2026 review measured at ~8% wrong; result 'Adopted' -> 'Passed', which follows the roll call ('Passed') and the collection's convention for a passage",2,"This joint resolution would remove the deadline for states to ratify the Equal Rights Amendment (ERA), which would add the following amendment to the U.S. Constitution: “Equality of rights under the law shall not be denied or abridged by the United States or by any state on account of sex.” In 2020, the thirty-eighth state ratified the ERA, which satisfies the requirement that three-fourths of the states must vote to ratify constitutional amendments, but the deadline for ratification has passed. This joint resolution passed the House on Feb. 13, 2020."
2020,House,116,2,9,H.R.,6074,HR6074-116,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",passage,2020-03-04,Passed,415,2,Y,Y=Right; N=Wrong,785,https://voteview.com/rollcall/RH1160785,,2,"This supplemental was the first phase of a national response to the public health emergency presented by the novel coronavirus (COVID-19) epidemic. It helped ensure that front-line workers performing essential services were protected against exposures to the virus—in order to protect these individuals and the public. The AFL-CIO supported robust funding to support the efforts of public health agencies to respond to the outbreak and to help health care workers and first responders safely care for individuals who contract COVID-19. This funding also would help public-facing workers stay safe as they provide essential services in areas such as transportation, education, corrections, and food preparation. This bill passed the House on March 4, 2020, and was signed into law on March 6, 2020."
2020,House,116,2,10,H.R.,1140,HR1140-116,Rights for Transportation Security Officers Act of 2020,passage,2020-03-05,Passed,230,171,Y,Y=Right; N=Wrong,789,https://voteview.com/rollcall/RH1160789,,3,"This bill would provide basic collective bargaining rights to transportation security officers, federal employees who provide for the security and protection of travelers at all U.S. airports. It would also require the Transportation Security Administration (TSA) administrator to follow the labor-management employee relations statutes that provide workplace rights and protections to most other federal government employees under Title 5 of the U.S. Code. This bill passed the House on March 5, 2020."
2020,House,116,2,11,H.R.,6201,HR6201-116,Families First Coronavirus Response Act,passage,2020-03-14,Passed,363,40,Y,Y=Right; N=Wrong,801,https://voteview.com/rollcall/RH1160801,date 2020-03-13 -> 2020-03-14 per Voteview roll 801,3,"H.R. 6201 would encourage working people to seek testing for infection by making the tests free for most people covered by employment-based insurance, Medicare or Medicaid; mandates that workers who are sick or affected by quarantine receive up to 14 paid sick days and up to 12 weeks of paid leave per year. H.R. 6201 also would take steps to improve access to food by expanding the Supplemental Nutrition Assistance Program (SNAP), the Women, Infant and Children (WIC) program and the school lunch program. Recognizing that the current federal unemployment insurance (UI) program will not be able to provide sufficient support for states to meet the needs of workers, the package provides additional funding for states. This bill passed the House on March 14, 2020, and was signed into law on March 18, 2020."
2020,House,116,2,12,H.R.,6800,HR6800-116,The Heroes Act,passage,2020-05-15,Passed,208,199,Y,Y=Right; N=Wrong,808,https://voteview.com/rollcall/RH1160808,,3,"On April 16, the AFL-CIO called on Congress to take immediate action to protect workers and their families from the worsening COVID-19 pandemic. Specifically, we called on Congress to embrace “America’s Five Economic Essentials” as the centerpiece of its response by (1) protecting and expanding health insurance for all workers; (2) keeping front line workers safe and secure; (3) keeping workers employed and protecting earned pension checks; (4) keeping state and local governments, public schools and the USPS solvent and working; and (5) hiring people to strengthen our infrastructure. The House responded by passing the HEROES Act, which addressed almost all of our recommendations. It required OSHA to issue an emergency workplace infectious disease standard. It gave critical aid to state and local governments, public schools and the U.S. Postal Service. It provided relief for multiemployer pension plans. It included a 100% subsidy to continue health coverage for laid-off workers. It provided a framework for helping employers keep workers on payroll, and it extended unemployment benefits through the end of the year, including an extra $600 a week for those who are out of work through no fault of their own. It included more direct payments to working people. It ensured free treatment for health care related to COVID-19. It earmarked billions of dollars to protect our elections. And it provided relief for renters and homeowners and additional food assistance. This bill passed the House on May 15, 2020."
2020,House,116,2,13,H.R.,7120,HR7120-116,George Floyd Justice in Policing Act,passage,2020-06-25,Passed,236,181,Y,Y=Right; N=Wrong,818,https://voteview.com/rollcall/RH1160818,,3,"The Justice in Policing Act of 2020 (H.R. 7120) would address longstanding structural racism and the need for accountability in American law enforcement, banning chokeholds, expanding use of body cameras, ending racial profiling, demilitarizing our police forces and ending no-knock warrants. This bill has the potential to create a fairer, more equitable justice system. While not perfect, this bill is an important first step in taking overdue action to redesign policing to address the lack of accountability and systemic racism that continues to plague our nation. This bill passed the House on June 25, 2020."
2020,House,116,2,14,H.R.,51,HR51-116,"Washington, D.C. Admission Act",passage,2020-06-26,Passed,232,180,Y,Y=Right; N=Wrong,821,https://voteview.com/rollcall/RH1160821,,4,"This bill would grant statehood to the District of Columbia, whose population is bigger than both Vermont and Wyoming, but whose residents do not have a constitutional right to voting representation in Congress. This bill would make Washington, D.C., the fifty-first state, with a voting member in the U.S. House of Representatives and two U.S. senators. This bill passed the House on June 26, 2020."
2020,House,116,2,15,H.R.,2,HR2-116,Moving Forward Act,passage,2020-07-01,Passed,233,188,Y,Y=Right; N=Wrong,837,https://voteview.com/rollcall/RH1160837,,4,"This bill was a $1.5 trillion plan to rebuild America’s infrastructure that would create millions of good jobs, increase long-term growth and make the U.S. more globally competitive, while protecting our environment and improving our health. It would help meet the demands of a 21st century economy, by making significant investments in surface transportation, rail and transit systems, aviation, energy production and distribution, schools, broadband, and housing. It also would guarantee that the jobs have family supporting wages and Buy America provisions that will bolster U.S. manufacturing. In addition, it would fund improvements in safe drinking water and wastewater systems, modernize the nation’s health care infrastructure, and create more affordable housing. Finally, it would accelerate the development of carbon reducing technologies and renewable energy, as well as modernize schools, invest in the postal service and provide high speed internet to underserved areas. This bill passed the House on July 1, 2020."
2020,House,116,2,16,H.R.,7617,HR7617-116,Fiscal Year 2021 Appropriations Minibus,passage,2020-07-31,Passed,217,197,Y,Y=Right; N=Wrong,877,https://voteview.com/rollcall/RH1160877,,4,"H.R. 7617 combined the texts of six fiscal 2021 spending measures approved by the Appropriations Committee, including the Labor-HHS-Education appropriations bill. The Labor-HHS portion of the Minibus recognized the importance of investing in workers, worker protections, health and education, and it wisely rejects the deep spending cuts and elimination of essential programs that the administration and previous House Republican budgets have proposed in years past. The Labor-HHS-Education portion of the Minibus increases funding for all three major departments and for most programs and activities. Overall discretionary spending for the bill would increase by $2.4 billion above the fiscal year 2020 enacted level and $20.8 billion above the president’s 2021 budget request. This bill passed the House on July 31, 2020."
2020,House,116,2,17,H.R.,2694,HR2694-116,Pregnant Workers Fairness Act,passage,2020-09-17,Passed,329,73,Y,Y=Right; N=Wrong,894,https://voteview.com/rollcall/RH1160894,,4,"This bill would prevent employers from forcing pregnant workers out of their jobs because of pregnancy-related medical needs and provide employers and employees with a clear statutory framework to follow. Employers would have to offer reasonable accommodation for limitations arising out of pregnancy, childbirth and related medical conditions, unless such accommodation would pose an undue hardship. The legislation would ensure that women can continue to work safely while pregnant, rather than be forced to abandon their paid employment- — and likely lose their health insurance, as well — because of on-the-job pregnancy-related health hazards. This bill passed the House on Sept. 17, 2020."
2020,House,116,2,18,H.R.,6210,HR6210-116,Uyghur Forced Labor Prevention Act,passage,2020-09-22,Passed,406,3,Y,Y=Right; N=Wrong,895,https://voteview.com/rollcall/RH1160895,,5,"This bill is meant to halt the horrific abuse of more than 1.8 million Uyghurs and other Muslims and Turkic people in China’s largest province, the Xinjiang Uyghur Autonomous Region (XUAR). Since 2017, the Chinese government has maintained the largest forced internment program of an ethnic and religious group since the Holocaust. While interned, many are forced to work to support China’s industry, including textiles and garments. To put pressure on the Chinese government to end these practices, the bill would prevent companies from sourcing goods made from inputs linked to the XUAR. This bill passed the House on Sept. 22, 2020."
2020,House,116,2,19,H.R.,8294,HR8294-116,National Apprenticeship Act of 2020,passage,2020-11-20,Passed,246,140,Y,Y=Right; N=Wrong,926,https://voteview.com/rollcall/RH1160926,,5,"H.R. 8294 would modernize the Registered Apprenticeship program by authorizing significant new funding to expand registered apprenticeships, pre-apprenticeships and youth apprenticeships in the United States. It also would codify and streamline existing standards that are vital to support apprentices, including youth apprenticeship and pre-apprenticeship programs. It also would bolster the role of the Office of Apprenticeship at the Department of Labor, and provide funding streams to ensure oversight and technical assistance. The bill would support more than 1 million Registered Apprenticeship opportunities over the next five years. Finally, it would ensure that the experts from industry and labor have a role in improving the program. This bill passed the House on Nov. 20, 2020."
