year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
2000,Senate,106,2,1,S.,1134,S1134-106,Education/Private School Vouchers,passage,2000-03-02,Passed,61,37,N,Y=Wrong; N=Right,407,https://voteview.com/rollcall/RS1060407,,18,"(S. 1134)—The Senate passed legislation that would have undermined public education by providing a generous tax benefit to our nation’s wealthiest families to help them pay for private elementary and secondary school expenses through education IRAs. The so-called Affordable Education Act passed 61–37 on March 2, 2000. Y=W; N=R. (DEM: 9–35; REP: 52–2)"
2000,Senate,106,2,2,S.,2549,S2549-106,Health Care/Patients’ Bill of Rights,motion to table,2000-06-08,Agreed to,51,48,N,Y=Wrong; N=Right,495,https://voteview.com/rollcall/RS1060495,,18,"(S. 2549)—Since 1998, working families have called on Congress to pass a strong Patients’ Bill of Rights. We support legislation to ensure their rights to have treatment decisions made by doctors and not insurance company bureaucrats, to see specialists when needed, to get emergency room care when and where needed, to appeal health care decisions and to hold managed care companies accountable when they wrongly deny patients care. The House passed such a bill in 1999, but the Senate killed an amendment to the Defense Authorization Bill (S. 2549) that was the same as the House-passed Patients’ Bill of Rights. Like the House bill, the Senate amendment also required health plans to provide customers with such options as obstetrical and gynecological care for women and pediatricians as primary care providers for children. The amendment was killed 51–48 on June 8, 2000. Y=W; N=R. (DEM: 0–44; REP: 51–4)"
2000,Senate,106,2,3,H.R.,4577,HR4577-106,Worker Safety/Ergonomics,amendment,2000-06-22,Adopted,57,41,N,Y=Wrong; N=Right,517,https://voteview.com/rollcall/RS1060517,,18,"(H.R. 4577)—In an effort to eliminate the nation’s No. 1 workplace health hazard—musculoskeletal injuries caused by poorly designed workplaces, repetitive motions and other ergonomic hazards on the job—workers and their unions long have supported the Occupational Safety and Health Administration’s effort to establish an ergonomics standard. Such a workplace ergonomics standard would reduce or prevent the musculoskeletal disorders—such as carpal tunnel syndrome, tendinitis and back injuries—that hit some 1.8 million workers a year. Because their injuries from workplace ergonomic hazards are so severe, more than 600,000 workers a year are forced to take time off from the job. But conservative Republicans and Big Business have opposed such standards for more than a decade. The Senate passed an amendment to the Labor/Health and Human Services/Education appropriations bill that would prohibit the use of funds in the bill to be used by OSHA to promulgate, issue, implement, administer or enforce any proposed, temporary or final ergonomics standard. The amendment passed 57–41 on June 22, 2000. Y=W; N=R. (DEM: 3–40; REP: 54–1)"
2000,Senate,106,2,4,H.R.,4577,HR4577-106,Prescription Drugs,amendment,2000-06-22,Rejected,44,53,Y,Y=Right; N=Wrong,518,https://voteview.com/rollcall/RS1060518,,18,"(H.R. 4577)—Prescription drug prices are rising at twice the rate of inflation. Most at risk in the drug price free-for-all are seniors, because Medicare does not pay for outpatient prescription drugs. Siding with insurance companies and the pharmaceutical industry, the Senate—in a near party-line vote—rejected an amendment to the Labor/Health and Human Services/Education appropriations bill that would authorize a universal, voluntary and affordable prescription drug benefit in the Medicare program for seniors and the disabled. The amendment failed 44–53 on June 22, 2000. Y=R; N=W. (DEM: 42–1; REP: 2–52)"
2000,Senate,106,2,5,H.R.,8,HR8-106,Estate Tax Repeal,passage,2000-07-14,Passed,59,39,N,Y=Wrong; N=Right,571,https://voteview.com/rollcall/RS1060571,,18,"(H.R. 8)—Instead of using the projected federal budget surpluses to strengthen Social Security and Medicare, and to add a prescription drug benefit to Medicare, the Senate passed a bill that would have used $105 billion of the non-Social Security surpluses over the next 10 years to repeal the estate tax. The bill would have benefited just the wealthiest 2 percent of the taxpayers, who are subject to the tax on very large estates. The AFL-CIO supports tax relief that is targeted to those who deserve it the most—the nation’s working families. The bill passed 59–39 on July 14, 2000. Y=W; N=R. (DEM: 9–35; REP: 50–4)"
2000,Senate,106,2,6,H.R.,4444,HR4444-106,Trade/China Trade,passage,2000-09-19,Passed,83,15,N,Y=Wrong; N=Right,625,https://voteview.com/rollcall/RS1060625,,19,"(H.R. 4444)— The Senate passed a bill to give the People’s Republic of China permanent normal trade relations status. The bill solidifies China’s entry into the World Trade Organization and effectively eliminates the U.S. government’s ability to impose trade sanctions on China for human rights or workers’ rights violations. The bill passed by a vote of 83–15 on Sept. 19, 2000. Y=W; N=R. (DEM: 37–7; REP: 46–8)"
2000,Senate,106,2,7,S.,2045,S2045-106,Immigration,motion,2000-09-27,Rejected,43,55,Y,Y=Right; N=Wrong,631,https://voteview.com/rollcall/RS1060631,"bill: the card's heading prints ""(S. 2912)"" and bill_number stores S. 2045, which is the measure Voteview roll 631 is on. The card is not wrong - the record's own prose says the vote was a motion to suspend Senate rules to allow S. 2912 to be considered as an amendment to S. 2045 during debate on S. 2045 - so the roll call belongs to S. 2045 and the subject of the motion is S. 2912. Noted rather than silently carried; no other stored column changes",19,"(S. 2912)—The Latino and Immigrant Fairness Act of 2000 would have given long-term Central American, Haitian and Eastern European refugees the same opportunity to apply for permanent residence as that already given to some other immigrant groups under similar circumstances. It also would have allowed certain immigrants who have lived, worked and paid taxes in the United States since 1986 to apply for legal permanent residence and would have allowed immigrants who qualify for a “green card” to obtain a visa without leaving the country. During debate on another immigration bill (S. 2045), a motion was made to suspend Senate rules to allow consideration of S. 2912 as an amendment to S. 2045. It was rejected 43–55 on Sept. 27, 2000. Y=R; N=W. (DEM: 43–1; REP: 0–54)"
2000,Senate,106,2,8,S.,2045,S2045-106,Immigration/H-1B,passage,2000-10-03,Passed,96,1,N,Y=Wrong; N=Right,636,https://voteview.com/rollcall/RS1060636,,19,"(S. 2045)—Claiming a shortage of skilled U.S. workers, many high-tech companies use the H-1B visa program to import foreign workers, usually at lower wages than their U.S. counterparts would earn. The AFL-CIO supports expanded training to improve the skills of U.S. workers and recruiting more women and people of color into the high- tech job market. The AFL-CIO opposed S. 2045 because it increased the number of H-1B visas from 115,000 to 195,000 annually for three years created some program loopholes, and did not improve the design of the underlying program to better protect American workers. It passed the Senate 96–1 on Oct. 3, 2000. Y=W; N=R. (DEM: 42–1; REP: 54–0)"
