year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
1994,Senate,103,2,1,H.R.,3345,HR3345-103,Federal Worker Buyouts,cloture,1994-03-24,Rejected,58,41,Y,Y=Right; N=Wrong,470,https://voteview.com/rollcall/RS1030470,,5,"The Clinton administration and Congress, in an effort to streamline government, called for a reduction of some 252,000 federal workers over the next five years. Buyouts for federal employees would be used as incentives for early retirement or to encourage workers to leave the government voluntarily. It was hoped that enough federal workers would take advantage of the buyout options, up to $25,000, so that layoffs could be avoided. The House first passed H.R. 3345 in February by a 391-17 vote. But the following day the Senate approved an amended version by voice vote which called for the savings from the workforce reduction be used to pay for new anti-crime programs. That led to a dispute between the House and Senate. Many federal agencies, which were operating under tight budgets in 1994, were faced with the possibility of laying off employees if the buyout legislation was stalled. A House/Senate conference reported a compromise version of the bill, but a GOP-led filibuster threatened to stall action on the conference report. A cloture vote failed 58-41 March 24. Cloture was later achieved and the bill was passed and signed into law. For - Right. Against - Wrong."
1994,Senate,103,2,2,H.R.,1804,HR1804-103,Education - Goals 2000,conference report,1994-03-26,Adopted,63,22,Y,Y=Right; N=Wrong,481,https://voteview.com/rollcall/RS1030481,"date follows the roll call: the card prints March 25, which is the day the Senate agreed to the motion to proceed (roll 478, 83-12); the conference report vote is roll 481 of 26 March. Rolls 479-481 are all dated 26 March and the first is a motion to request the attendance of absent senators, so the sitting may have run past midnight and the card may be giving the legislative day - Voteview records no clock times",5,"The AFL-CIO backed one of the most ambitious major education and training bills in years, H.R. 1804, Goals 2000, the Educate America Act. The bill will, for the first time, establish skill and performance standards for students. It assures that the national skill standards provisions are balanced and developed in partnership with labor, business, and educators. The legislation will also provide a major stimulus to education reform efforts in the states. The legislation establishes voluntary national education standards which are broad descriptions of the knowledge and skills students should acquire in a particular subject area. The bill also sets student performance standards which are subject areas a student must know and in which he or she must be able to demonstrate proficiency. The legislation also establishes a skill standards board which will be charged with studying the national labor market and identifying broad clusters of major occupations that involve one or more industries in the United States. After identifying an occupational cluster, the board would then facilitate the establishment of voluntary labor/business/education partnerships to develop skill standards systems. Backed by the AFL-CIO, it passed the Senate March 25 63-22. For - Right. Against - Wrong."
1994,Senate,103,2,3,S.,2019,S2019-103,Davis-Bacon,amendment,1994-05-18,Rejected,45,53,N,Y=Wrong; N=Right,514,https://voteview.com/rollcall/RS1030514,"date corrected from the printed May 19: Simpson amendment No. 1730 is roll 514 of 18 May, and 19 May is the day the Senate passed S. 2019 itself (roll 517, 95-3)",5,"In the last several years, anti-labor members of Congress, backed by such anti-union groups as the Association of Building Contractors (ABC), have escalated their campaign to repeal one of the nation's first fair-wage standard laws - the 1931 Davis-Bacon Act. The Davis-Bacon Act was designed to outlaw wage exploitation in federal construction contracts by preventing the federal government from undercutting local area labor standards. Along with protecting workers, the Davis-Bacon Act provides important safeguards for businesses, the federal government and the taxpayer. By establishing a wage-rate floor, the law provides local builders with a fair chance to compete for government projects on the basis of skill and efficiency, rather than losing this work to disreputable competitors who could underbid by paying substandard wages. The government and taxpayers, in turn, are protected from fly-by-night contractors whose substandard wages would attract substandard workers and result in shoddy construction work, requiring still more tax dollars for higher repair costs and additional maintenance over the life of the project. These are some of the basic reasons - still valid today - which led Congress to pass the Davis-Bacon Act more than 60 years ago, and which moved some 40 state legislatures to enact their own ""little Davis-Bacon Acts"" for state-funded construction projects. During consideration of the Safe Drinking Water Act (S. 2019) several anti-Davis-Bacon amendments were offered. One by Sen. Alan Simpson (R-WY) would have allowed states to exempt certain communities from Davis-Bacon requirements for any construction or repair work under the bill. That was defeated 45-53 on May 19. For - Wrong. Against - Right."
1994,Senate,103,2,4,S.,687,S687-103,Product Liability,cloture,1994-06-29,Rejected,57,41,N,Y=Wrong; N=Right,565,https://voteview.com/rollcall/RS1030565,,6,"Every year thousands of workers suffer occupational injuries and diseases as a direct result of defects in the products with which they work. Whether working on unsafe machinery or with other defective ""products used in a trade or business,"" workers injured as a result of the working conditions have found that product liability litigation affords their only recourse for full redress of their injuries. S. 687 would have unfairly limited the legal rights of these workers while at the same time, affording special interest protection to the manufacturers of defective products. The legislation, opposed by the AFL-CIO, would have curtailed the ability of workers to be made whole for losses they suffer when injured by a defective product. ""S. 687 is one-sided legislation whose provisions uniformly make it far more difficult for workers or consumers injured by defective products to vindicate their rights. Such an approach undermines the product liability system's two principal social functions - providing fair and timely recompense to individuals who are harmed by unsafe products, and imposing economic disincentives to the production of unsafe products,"" AFL-CIO Legislative Director Robert M. McGlotten said. The AFL-CIO was particularly concerned with the adverse effects S. 687 would have on the rights of injured workers eligible to receive workers compensation. These injured workers would be precluded from making ""any settlement with or accepting any payment from the manufacturer or product seller without the written consent of the employer and no release to or agreement with the manufacturer or product seller shall be valid or enforceable for any purpose without such consent."" That is an open invitation to employers to frustrate settlement and force litigation. A cloture motion to limit debate on the bill failed by a 57-41 vote June 29. For - Wrong. Against - Right."
1994,Senate,103,2,5,S.,55,S55-103,Workplace Fairness,cloture,1994-07-12,Rejected,53,47,Y,Y=Right; N=Wrong,583,https://voteview.com/rollcall/RS1030583,,7,"The Workplace Fairness bill would have banned the use of permanent replacement workers by employers during an economic strike. While U.S. labor law says a worker cannot be fired for striking, the courts have said he or she may be permanently replaced, a difference in name alone. The use of permanent replacements is part of a strategy being pursued by too many employers in this country - an effort to break unions and drive down costs by slashing wages and benefits and replacing higher-paid workers with low-wage workers, contingent workers and part time workers. ""The system of industrial relations has been tarnished and compromised significantly by the whole issue of permanent replacement of striking workers. Who are the workers who have been replaced? They are workers who are fighting for increased economic opportunity. They are workers who are fighting for safer working conditions. They are workers who are fighting for greater security for themselves and their families,"" Sen. Edward Kennedy (D-MA) said during the debate. The business community and its allies, in almost hysterical and fantasy-filled arguments, painted a picture of hundreds of strikes, lasting dozens of weeks, shutting America's factories and small businesses and sending the U.S. economy into ruins if S. 55 was approved. They claimed it would give labor an unfair and powerful advantage over a fatally weakened management. Opponents of the bill staged a filibuster and a motion to invoke cloture and end debate failed by a 53-47 (a 60 vote super majority was needed) vote July 12, in effect killing the bill. The AFL-CIO backed cloture. For - Right. Against - Wrong."
1994,Senate,103,2,6,H.R.,5110,HR5110-103,GATT,passage,1994-12-01,Passed,76,24,N,Y=Wrong; N=Right,724,https://voteview.com/rollcall/RS1030724,,7,"After a comprehensive evaluation, the AFL-CIO strongly opposed the Uruguay Round GATT agreement and urged Congress to reject the agreement because it offers little, if anything, that is positive for working people and their communities. The Federation's opposition to GATT was based on several reasons including: the loss of tens of thousands of U.S. textile and apparel industry jobs; the weakening of U.S. trade laws which are designed to combat unfair trade practices; the subjugation of U.S. trade policy and some U.S. laws to decisions from the new World Trade Organization (WTO). ""Millions of American workers have already suffered greatly from the damaging effects of unfair and inequitable trade. For many Americans, the agreements will mean enormous economic disruption and job loss,"" the AFL-CIO Executive Council said. The GATT implementing legislation will do nothing to alleviate the United States' huge annual trade deficit, which, this year, is expected to be the second highest in the nation's history at close to $150 billion. It will also limit the ability of the U.S. government to fashion policies and take actions that could bring some relief from growing trade deficits. ""The Uruguay Round did nothing to address the cruelest and most prevalent unfair trade practice of all - the suppression of worker rights by governments seeking a low-wage, low-standard 'comparative advantage' on the world market,"" the Council said. But on Dec. 1, the Senate approved the implementing legislation by a 76-24 vote. For - Wrong. Against - Right."
1994,Senate,103,2,7,S.J.Res.,41,SJRES41-103,Balanced Budget Constitutional Amendment,passage,1994-03-01,Rejected,63,37,N,Y=Wrong; N=Right,443,https://voteview.com/rollcall/RS1030443,,8,"The push for a constitutional amendment to require a balanced federal budget ""proves that the days of quack medicine and vaudeville magic shows are not yet in the past,"" Sen. Robert Byrd (D-WV) said when the Senate took up a resolution calling for such a measure. ""The AFL-CIO vehemently opposed S.J. Res. 41. This amendment could cause great damage to the economy and to important services that government provides to American workers and their families. The AFL-CIO believes that the S.J. Res. 41 is pernicious symbolism,"" AFL-CIO Legislative Director Robert M. McGlotten said in a letter to Senate members. Under the terms of the proposed amendment (which requires a two-thirds majority in each house and ratification by three-quarters of the states), no deficit spending would be allowed except in times of war or imminent war, or by a 60 percent vote of both houses. The resolution would seriously undermine Congress' fiscal powers to help maintain national economic stability. A Treasury Department study showed that to meet a mandate of a balanced budget in the year 2000, huge tax increases would be required along with deep cuts in defense spending, Social Security and almost all other important programs. It was defeated in the Senate March 1 by a 63-37 vote. For - Wrong. Against - Right."
1994,Senate,103,2,8,S.,2019,S2019-103,'Unfunded Mandates',motion to table,1994-05-17,Agreed to,56,43,Y,Y=Right; N=Wrong,510,https://voteview.com/rollcall/RS1030510,,8,"Unfunded mandates became a rallying cry for opponents of federal regulations from workplace safety to environmental rules laws to even civil rights laws. They claim such laws are an undue financial burden on state and local governments. In a nutshell, an unfunded mandate is any provision of a federal law or regulation that requires a state or local government to do anything which costs it any money. The drive to ban unfunded mandates puts decades of progress in civil rights, environmental, health, welfare, public safety, minimum wage and worker protection laws at risk. Labor-oriented bills, such as OSHA reform, could be held hostage by an unfunded mandate ban. Many of last year's bills sought to exempt state and local governments from compliance with new laws, as well as new and revised regulations, that do not have full funding to pay the costs incurred by state and local governments. A battleground for the issue was the Safe Drinking Water Act (S. 2019) which is aimed at providing American citizens nationwide with clean and reliable drinking water, the federal government will foot most of the bill for enforcement and monitoring. But state and local governments must also shoulder some of the fiscal responsibility for providing clean and safe drinking water which meets national standards. During consideration of the bill, an amendment was offered which would have allowed communities to avoid penalties for non-compliance with the act if such non-compliance was the result of an unfunded mandate. Opposed by the AFL-CIO, this amendment was tabled 56-43 on May 17. For tabling - Right. Against tabling - Wrong."
