year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
1990,Senate,101,2,1,S.,1630,S1630-101,Clean Air - The Byrd Amendment,amendment,1990-03-29,Rejected,49,50,Y,Y=Right; N=Wrong,359,https://voteview.com/rollcall/RS1010359,,7,"The AFL-CIO has long supported the improvement of air quality for all Americans. The Clean Air Act of 1970 set ambitious goals, but 20 years later many of those goals had not been achieved. S. 1630, Amendments to the Clean Air Act, set new and more stringent standards for toxic emissions, automobile pollution and power plant sulfur emissions that cause acid rain. While the AFL-CIO backed many aspects of the bill, its overriding concern was to prevent, as much as possible, significant job loss and dislocation for American workers and to soften the blow for workers who do lose their jobs as a result of the legislation. Both the EPA and the United Mine Workers estimated that the acid rain provisions could cost from 14,000 to 20,000 coal mining jobs in the high sulfur coal fields of Appalachia and the Midwest. Related industries would also suffer job losses. Sen. Robert Byrd (D-WV) offered an AFL-CIO-supported amendment to the bill. It would have offered coal miners three years of declining percentage benefits, in addition to the normal unemployment benefits, while granting non-miners the equivalent of one year of trade adjustment assistance. On March 29, the amendment was defeated 49-50. Subsequently clean air legislation containing modified unemployed worker relief was passed and signed into law. For - Right. Against - Wrong."
1990,Senate,101,2,2,H.R.,2364,HR2364-101,Amtrak Reauthorization,veto override,1990-06-12,Rejected,64,36,Y,Y=Right; N=Wrong,427,https://voteview.com/rollcall/RS1010427,,7,"The Amtrak reauthorization bill was a carefully crafted bi-partisan compromise. In addition to providing funding for the rail system, it contained a provision to eliminate multi-state taxation for transport employees who work in more than one state and the authority to establish a commuter rail system between northern Virginia and the District of Columbia. After it passed the House and Senate, President Bush vetoed the bill, citing only one small segment: a labor-supported provision that would have allowed the Interstate Commerce Commission to review and approve the acquisition of any of the 14 Class I railroads by any non-railroad interest to make sure that the public's interest was protected. The Senate failed in its effort to follow the House's successful override of the veto. The Senate tally, 64-36, on June 12 fell three votes short of override. The AFL-CIO supported the override. For override - Right. Against override - Wrong."
1990,Senate,101,2,3,H.R.,20,HR20-101,Hatch Act Reform,veto override,1990-06-21,Rejected,65,35,Y,Y=Right; N=Wrong,433,https://voteview.com/rollcall/RS1010433,"printed tally 65-30; roll call 433 is 65-35, which is the arithmetic the card describes (100 voting, 67 needed); the card calls the bill S. 135, but the recorded vote is on H.R. 20, the enrolled vehicle carrying the Hatch Act reform text",8,"Under the terms of the 1939 Hatch Act, nearly three million federal and postal workers are virtually shut out of the political process. The law places bans or limitations on such basic political activities as endorsing candidates, carrying signs or speaking at political rallies and displaying signs on a worker's car or home. Hatch Act reform, S. 135, would have allowed federal and postal workers, on their own time and out of uniform, to more fully participate in the democratic process by working in a political campaign stuffing envelopes, answering phones and engaging in other campaign activity. Workers could also hold offices in a political party or club, participate in a partisan voter registration drive, circulate a nomination petition for a candidate or speak at a primary caucus in favor of a candidate. The bill continued the existing prohibitions against federal and postal employees running for office in a partisan election, soliciting campaign contributions from the general public or coercing the public on an election campaign. It also would have improved the protection against coercion of or by federal and postal employees. However, President Bush vetoed the bill and the White House used intensive pressure and lobbying to keep GOP lawmakers toeing the party line. On June 21, the Senate failed 65-30 to override the veto. The AFL-CIO supported the override. For override - Right. Against override - Wrong."
1990,Senate,101,2,4,S.,566,S566-101,Davis-Bacon,motion to table,1990-06-21,Agreed to,59,39,Y,Y=Right; N=Wrong,434,https://voteview.com/rollcall/RS1010434,printed no date; 21 Jun 1990 from roll call 434,8,"The 1931 Davis-Bacon Act ensures that workers on federal construction projects receive the local prevailing wage. This prevents contractors from slashing workers' wages in order to win federal contracts with low-ball bids and thereby deny contractors who uphold community labor standards a fair chance to compete for government construction projects. It also protects the government and public from fly-by-night operators who seek to win federal contracts by paying wages too low to attract competent craftsmen. In Senate debate on the Housing Reauthorization bill (S. 566), an amendment that would have removed Davis-Bacon protection from federal housing construction projects was offered. Sen. John Chaffee's (R-RI) amendment would have nullified the Act for HUD contracts under $1 million. A motion to table by Sen. Alan Cranston (D-CA) and backed by the AFL-CIO was approved by a 59-39 vote. For tabling - Right. Against tabling - Wrong."
1990,Senate,101,2,5,H.R.,4328,HR4328-101,"Trade - Textile, Apparel and Footwear Imports",passage,1990-07-17,Passed,68,32,Y,Y=Right; N=Wrong,469,https://voteview.com/rollcall/RS1010469,"the card calls the bill S. 2411; the Senate passed that text as H.R. 4328, which is what the roll call is on",8,"Since 1980, more than 1,800 textile and apparel plants have shut their gates and 400,000 workers have lost their jobs. Currently textile and apparel imports make up almost 60 percent of the U.S. market and account for 26 percent of the nation's trade deficit. Footwear imports make up 85 percent of the U.S. market. That is why the AFL-CIO supported S. 2411, a bill that would set import limits for those products and thereby protect the jobs of several hundred thousand U.S. workers in those industries. The bill allowed imports of textiles and apparel to grow at a 1-percent annual rate and footwear imports to be frozen at 1989 levels. The legislation did not contain a rollback of imports but provided for orderly growth that would have helped U.S. workers to retain their jobs in this import-sensitive industry. Unrestricted imports in these areas will eliminate thousands of existing jobs in the future. It passed the Senate July 17 by a 68-32 vote. But it was later vetoed by President Bush and the veto was sustained. For - Right. Against - Wrong."
1990,Senate,101,2,6,S.,2924,S2924-101,Fish Inspection/Employee Whistleblower Protection,substitute,1990-09-12,Rejected,39,59,Y,Y=Right; N=Wrong,544,https://voteview.com/rollcall/RS1010544,,9,"Most Americans do not know that the fish they eat reaches their table without mandatory government inspection for health and safety. The AFL-CIO backed efforts to establish a mandatory federal fish and fish products inspection program to protect both consumers and workers. S. 2924, the Fish Safety Act of 1990, called for frequent, unannounced random inspections of fish processing plants. But it fell short in several areas, including whistleblower protection. Because it did not require the continuous presence of an inspector, the bill needed a provision affirming a plant employees' right to monitor and report abuses on an every-day basis without the fear of recrimination. Workers must be assured that they are not risking their jobs for simply reporting violations of the law and acting in the public's interest. On September 12, the Senate passed S. 2924, after defeating a labor-backed substitute, 39-59. The substitute was offered by Senators Ernest Hollings (D-SC), Ted Kennedy (D-MA) and Ted Stevens (R-AK) and would have created whistleblower protections for workers in fish processing plants. For substitute - Right. Against substitute - Wrong."
1990,Senate,101,2,7,S.,1224,S1224-101,Fuel Efficiency - Realistic Standards,cloture,1990-09-25,Rejected,57,42,N,Y=Wrong; N=Right,560,https://voteview.com/rollcall/RS1010560,,9,"The AFL-CIO supports a national energy policy, including the need to increase fuel efficiency for motor vehicles. But a bill, S. 1224, introduced by Sen. Richard Bryan (D-NV), would have required exceedingly strict standards for fuel efficiency of motor vehicles. The levels called for in the bill - a 20 percent increase by 1995 and a 40 percent hike by 2001 - are out of reach with present technology. If enacted, the legislation would have resulted in plant closings and significant unemployment. Improvements in fuel efficiency must be both achievable and reasonable. Those called for in S. 1224 were neither. On September 25 by a 57-42 vote, the bill failed to gain the three-fifths majority needed for cloture and effectively was killed for the session. For cloture - Wrong. Against cloture - Right."
1990,Senate,101,2,8,S.,3209,S3209-101,OSHA Criminal Penalties,motion to table,1990-10-18,Rejected,21,79,Y,Y=Right; N=Wrong,594,https://voteview.com/rollcall/RS1010594,"the card names S. 2154, the free-standing OSHA criminal penalties bill; the motion to table was offered against the OSHA provisions of S. 3209, the reconciliation bill",10,"Improving the safety and health of working people in the United States is an AFL-CIO priority. The labor movement was instrumental in the fight to establish the Occupational Health and Safety Administration in 1970. But in the past 20 years, the progress to improve working conditions has come slowly and with great difficulty. Every year, 10,000 workers are killed on the job from traumatic injuries, 70,000 are permanently disabled and six million are injured. Another 100,000 workers die from occupational diseases and the long-term effects of exposure to toxic substances. Since 1971, 200,000 workers have died on the job. But the Justice Department prosecuted only 14 cases and not until 1989 did one employer spend a single day in jail for violations resulting in death or injury. The AFL-CIO has called for comprehensive reform of OSHA. One of those reforms is stronger criminal penalties for employers when willful health and safety violations lead to injury or death. In the Senate, such increases were called for in S. 2154. The Senate's version of budget reconciliation contained many of the provisions outlined in the legislation. But on October 18, Sen. Orrin Hatch (R-UT) offered an amendment to strike those provisions from the bill. A motion to table the Hatch amendment failed 21-79 and those provisions were stricken from the reconciliation bill. For tabling - Right. Against tabling - Wrong."
1990,Senate,101,2,9,S.,2104,S2104-101,Civil Rights,veto override,1990-10-24,Rejected,66,34,Y,Y=Right; N=Wrong,616,https://voteview.com/rollcall/RS1010616,,11,"Because of several 1989 Supreme Court rulings, millions of Americans can no longer count on the full protection of civil rights laws dating back to the 1960s - nor even the 1860s. These regressive rulings mean that victims of racial or sexual employment discrimination will find it more difficult, more time consuming and more expensive to obtain simple justice. S. 2104, the Civil Rights Act of 1990, introduced by Senators Ted Kennedy (D-MA) and James Jeffords (R-VT), would have strengthened several provisions of the 1964 Civil Rights Act that the Supreme Court weakened. It also restores parts of an 1866 civil rights law that the court narrowly interpreted. Along with the backing of the AFL-CIO, this bipartisan legislation enjoyed the support of The Leadership Council on Civil Rights, other civil rights groups, women's organizations and religious institutions. The legislation passed the House and Senate but was vetoed by President Bush and the Senate sustained the veto October 24 by a 66-34 vote, one short of overriding. For override - Right. Against override - Wrong."
